horizon,model,model_type,stocks,observations,avg_price_mae,median_price_mae,avg_return_abs_error,avg_directional_accuracy
1,ARIMA,statistical_ml,10,500,1.242182244908891,1.2200121462739981,0.029825676520404798,0.492
1,Chronos-LoRA-V1,chronos_lora,10,500,1.215724044920116,1.2140328522347459,0.02966151452366811,0.526
1,Chronos-LoRA-V2,chronos_lora,10,500,1.2107319409850152,1.2126881875858246,0.029521485352146236,0.558
1,Chronos-LoRA-V3,chronos_lora,10,500,1.210239922244169,1.2141423583031274,0.029549118342825188,0.55
1,Chronos-LoRA-V4,chronos_lora,10,500,1.2163693017474038,1.2178904889809452,0.02961562615044889,0.534
1,EGARCH,statistical_ml,10,500,1.2191471323838736,1.210279615968966,0.029569103453299845,0.562
1,ETS,statistical_ml,10,500,1.2324319840485873,1.2164092017823465,0.029916189821483162,0.488
1,GARCH,statistical_ml,10,500,1.2163914329096788,1.2082640491359027,0.029554729071448772,0.55
1,GJR-GARCH,statistical_ml,10,500,1.2183814362371188,1.2103220642791608,0.029580178723963874,0.56
1,LightGBM,statistical_ml,10,500,1.4440750637447008,1.5350133766046024,0.0349569766095751,0.49000000000000005
1,Naive,statistical_ml,10,500,1.2294526450037946,1.2186450779438007,0.029640430711460136,
1,VAR,statistical_ml,10,500,,,,
1,XGBoost,statistical_ml,10,500,1.4072914688993046,1.4388439510769417,0.034696196836512865,0.45600000000000007
5,ARIMA,statistical_ml,10,500,2.7226180629018293,2.589629329925736,0.0648066999874338,0.52
5,Chronos-LoRA-V1,chronos_lora,10,500,2.7165630297875447,2.6315347814470567,0.06490161866276115,0.548
5,Chronos-LoRA-V2,chronos_lora,10,500,2.7423378735285353,2.699891109831798,0.06511675307442662,0.546
5,Chronos-LoRA-V3,chronos_lora,10,500,2.725804436256369,2.6531082605263103,0.06494476115136212,0.546
5,Chronos-LoRA-V4,chronos_lora,10,500,2.742492378618206,2.668344570118093,0.0650481181871437,0.5599999999999999
5,EGARCH,statistical_ml,10,500,,,,
5,ETS,statistical_ml,10,500,2.710776564116827,2.58829400759974,0.06452038255885091,0.524
5,GARCH,statistical_ml,10,500,2.6782544029999475,2.609594911655207,0.06439468406734572,0.558
5,GJR-GARCH,statistical_ml,10,500,2.6847804733220313,2.608947160461449,0.06451823081019525,0.5519999999999999
5,LightGBM,statistical_ml,10,500,3.300413592774541,3.1649812593493816,0.08127382291926419,0.502
5,Naive,statistical_ml,10,500,2.717854095041752,2.5993201571702955,0.06471487530798042,
5,VAR,statistical_ml,10,500,,,,
5,XGBoost,statistical_ml,10,500,3.178297502140521,3.3924480282059264,0.07767224805808043,0.534
10,ARIMA,statistical_ml,10,500,3.9103642978192155,3.592002162694139,0.09266358034997413,0.526
10,Chronos-LoRA-V1,chronos_lora,10,500,3.835940221295425,3.4999109994656417,0.0930326691116543,0.5660000000000001
10,Chronos-LoRA-V2,chronos_lora,10,500,3.8715311934965584,3.523634438379191,0.09245800569305532,0.576
10,Chronos-LoRA-V3,chronos_lora,10,500,3.8475114209273853,3.5123601303173917,0.09265273661981571,0.572
10,Chronos-LoRA-V4,chronos_lora,10,500,3.854471324225167,3.4946272970006618,0.09253354672133501,0.5720000000000001
10,EGARCH,statistical_ml,10,500,,,,
10,ETS,statistical_ml,10,500,3.872923142969712,3.5238292357453287,0.09281559393764,0.556
10,GARCH,statistical_ml,10,500,3.802653036737689,3.4975417503349764,0.09225105065196813,0.558
10,GJR-GARCH,statistical_ml,10,500,3.814084490623576,3.506905995177172,0.09240495837904378,0.5519999999999999
10,LightGBM,statistical_ml,10,500,4.663606365994482,4.685886406812036,0.11481271598323621,0.532
10,Naive,statistical_ml,10,500,3.897812913298607,3.6118875789642333,0.0926671529094262,
10,VAR,statistical_ml,10,500,,,,
10,XGBoost,statistical_ml,10,500,4.422601973987463,4.578673767495264,0.11277158419821413,0.532
20,ARIMA,statistical_ml,10,500,5.573652983625587,5.731490569809042,0.1385646332747899,0.514
20,Chronos-LoRA-V1,chronos_lora,10,500,5.515498972220138,5.599964555181991,0.14092958098019723,0.5860000000000001
20,Chronos-LoRA-V2,chronos_lora,10,500,5.542672519680076,5.568213786613529,0.1396861031322657,0.5780000000000001
20,Chronos-LoRA-V3,chronos_lora,10,500,5.531741015487389,5.557594713008228,0.1401508430573635,0.5780000000000001
20,Chronos-LoRA-V4,chronos_lora,10,500,5.533337550341567,5.560999994284784,0.13978917543925834,0.584
20,EGARCH,statistical_ml,10,500,,,,
20,ETS,statistical_ml,10,500,5.539522194299493,5.685082493774717,0.14048913618627148,0.532
20,GARCH,statistical_ml,10,500,5.35882652136331,5.513886268467896,0.13857532651344648,0.5640000000000001
20,GJR-GARCH,statistical_ml,10,500,5.37432602158322,5.5327425970328115,0.1388963488136913,0.5660000000000001
20,LightGBM,statistical_ml,10,500,7.545564467743262,7.530546834170646,0.1911506466008066,0.54
20,Naive,statistical_ml,10,500,5.559366273850202,5.679635076522828,0.13850589701243726,
20,VAR,statistical_ml,10,500,,,,
20,XGBoost,statistical_ml,10,500,7.266230152199297,7.713099799410124,0.18891268133125913,0.536
