ticker,cutoff_date,horizon,model,actual,last_price,prediction,price_mae,return_abs_error,direction_hit,model_type
AAPL,2011-03-11,1,Naive,10.574847221374512,10.527891159057615,10.527891159057615,0.04695606231689631,0.004460158412304516,,statistical_ml
AAPL,2011-03-11,1,ARIMA,10.574847221374512,10.527891159057615,10.52828988610476,0.046557335269751476,0.004422285010963201,1.0,statistical_ml
AAPL,2011-03-11,1,ETS,10.574847221374512,10.527891159057615,10.532310003377285,0.04253721799722676,0.0040404310183841385,1.0,statistical_ml
AAPL,2011-03-11,1,GARCH,10.574847221374512,10.527891159057615,10.552238466462953,0.022608754911559004,0.002147510319966406,1.0,statistical_ml
AAPL,2011-03-11,1,EGARCH,10.574847221374512,10.527891159057615,10.549437119779173,0.025410101595339185,0.0024135984321493886,1.0,statistical_ml
AAPL,2011-03-11,1,GJR-GARCH,10.574847221374512,10.527891159057615,10.550252771588644,0.024594449785867667,0.0023361231052154707,1.0,statistical_ml
AAPL,2011-03-11,1,XGBoost,10.574847221374512,10.527891159057615,10.511784381412598,0.06306283996191375,0.005990073321346823,0.0,statistical_ml
AAPL,2011-03-11,1,LightGBM,10.574847221374512,10.527891159057615,10.54000346459245,0.03484375678206142,0.003309661569979694,1.0,statistical_ml
AAPL,2011-03-11,1,VAR,10.574847221374512,10.527891159057615,,,,,statistical_ml
AAPL,2011-03-11,1,Chronos-LoRA-V1,10.574847221374512,10.527891159057615,10.548285863287116,0.026561358087395348,0.0025229514331124303,1.0,chronos_lora
AAPL,2011-03-11,1,Chronos-LoRA-V2,10.574847221374512,10.527891159057615,10.550090262218948,0.024756959155563862,0.0023515591851712703,1.0,chronos_lora
AAPL,2011-03-11,1,Chronos-LoRA-V3,10.574847221374512,10.527891159057615,10.551227457490683,0.023619763883829137,0.002243541800250215,1.0,chronos_lora
AAPL,2011-03-11,1,Chronos-LoRA-V4,10.574847221374512,10.527891159057615,10.54652978141728,0.028317439957231016,0.002689754247019227,1.0,chronos_lora
AAPL,2011-03-11,5,Naive,9.890216827392578,10.527891159057615,10.527891159057615,0.6376743316650373,0.06056999659579665,,statistical_ml
AAPL,2011-03-11,5,ARIMA,9.890216827392578,10.527891159057615,10.528160332094352,0.6379435047017736,0.06059556420783485,0.0,statistical_ml
AAPL,2011-03-11,5,ETS,9.890216827392578,10.527891159057615,10.549765549496827,0.6595487221042493,0.06264775273030909,0.0,statistical_ml
AAPL,2011-03-11,5,GARCH,9.890216827392578,10.527891159057615,10.65019206730806,0.759975239915482,0.07218684430087796,0.0,statistical_ml
AAPL,2011-03-11,5,EGARCH,9.890216827392578,10.527891159057615,,,,,statistical_ml
