ticker,history_length,cutoff_date,horizon,model,last_price,actual,predicted,price_mae,return_abs_error
AAPL,30,2010-02-16,1,Naive,6.0836181640625,6.058197021484375,6.0836181640625,0.025421142578125,0.004178622308726454
AAPL,30,2010-02-16,1,ARIMA,6.0836181640625,6.058197021484375,6.0407771126165475,0.017419908867827516,0.0028634125939611677
AAPL,30,2010-02-16,1,Chronos-2,6.0836181640625,6.058197021484375,6.06557559967041,0.007378578186035156,0.0012128601741677736
AAPL,30,2010-02-16,5,Naive,6.0836181640625,5.893992424011231,6.0836181640625,0.18962574005126864,0.031169895108052126
AAPL,30,2010-02-16,5,ARIMA,6.0836181640625,5.893992424011231,6.016038541057904,0.1220461170466729,0.020061436098608332
AAPL,30,2010-02-16,5,Chronos-2,6.0836181640625,5.893992424011231,6.129560470581055,0.23556804656982333,0.0387217014968797
AAPL,30,2010-02-16,10,Naive,6.0836181640625,6.246626377105713,6.0836181640625,0.1630082130432129,0.02679461607339939
AAPL,30,2010-02-16,10,ARIMA,6.0836181640625,6.246626377105713,6.015560708182964,0.23106566892274927,0.03798161927514032
AAPL,30,2010-02-16,10,Chronos-2,6.0836181640625,6.246626377105713,6.167713165283203,0.07891321182250977,0.012971427478580377
AAPL,30,2010-02-16,20,Naive,6.0836181640625,6.713214874267578,6.0836181640625,0.6295967102050781,0.10349050404318083
AAPL,30,2010-02-16,20,ARIMA,6.0836181640625,6.713214874267578,6.015557286488306,0.6976575877792719,0.1146780696889419
AAPL,30,2010-02-16,20,Chronos-2,6.0836181640625,6.713214874267578,6.175246238708496,0.537968635559082,0.08842905998555306
AAPL,30,2010-06-16,1,Naive,7.993350982666016,8.13153076171875,7.993350982666016,0.13817977905273438,0.017286839943896348
AAPL,30,2010-06-16,1,ARIMA,7.993350982666016,8.13153076171875,8.037404923311682,0.09412583840706823,0.011775516752759119
AAPL,30,2010-06-16,1,Chronos-2,7.993350982666016,8.13153076171875,8.019006729125977,0.11252403259277344,0.014077204020790157
AAPL,30,2010-06-16,5,Naive,7.993350982666016,8.104609489440918,7.993350982666016,0.11125850677490234,0.013918881707580821
AAPL,30,2010-06-16,5,ARIMA,7.993350982666016,8.104609489440918,8.024892550969463,0.07971693847145467,0.009972906062091669
AAPL,30,2010-06-16,5,Chronos-2,7.993350982666016,8.104609489440918,7.613431453704834,0.491178035736084,0.0614483258399674
AAPL,30,2010-06-16,10,Naive,7.993350982666016,7.523171424865723,7.993350982666016,0.47017955780029297,0.05882133273265511
AAPL,30,2010-06-16,10,ARIMA,7.993350982666016,7.523171424865723,8.016471781481032,0.49330035661530935,0.061713836623095486
AAPL,30,2010-06-16,10,Chronos-2,7.993350982666016,7.523171424865723,7.686586856842041,0.16341543197631836,0.02044392049475785
AAPL,30,2010-06-16,20,Naive,7.993350982666016,7.5207743644714355,7.993350982666016,0.4725766181945801,0.05912121452184271
AAPL,30,2010-06-16,20,ARIMA,7.993350982666016,7.5207743644714355,8.018117507664691,0.49734314319325534,0.06221960530342896
AAPL,30,2010-06-16,20,Chronos-2,7.993350982666016,7.5207743644714355,7.603219032287598,0.08244466781616211,0.010314155852151008
AAPL,30,2010-10-15,1,Naive,9.413755416870115,9.511260986328123,9.413755416870115,0.09750556945800781,0.010357775950209147
AAPL,30,2010-10-15,1,ARIMA,9.413755416870115,9.511260986328123,9.469789260427849,0.04147172590027459,0.004405439069083306
AAPL,30,2010-10-15,1,Chronos-2,9.413755416870115,9.511260986328123,9.460661888122559,0.05059909820556463,0.005375017298079321
AAPL,30,2010-10-15,5,Naive,9.413755416870115,9.196311950683594,9.413755416870115,0.21744346618652166,0.023098482651976227
AAPL,30,2010-10-15,5,ARIMA,9.413755416870115,9.196311950683594,9.696376827156692,0.5000648764730986,0.05312065741340022
AAPL,30,2010-10-15,5,Chronos-2,9.413755416870115,9.196311950683594,9.714829444885254,0.5185174942016602,0.055080833444263844
AAPL,30,2010-10-15,10,Naive,9.413755416870115,9.00220012664795,9.413755416870115,0.4115552902221662,0.04371850255261889
AAPL,30,2010-10-15,10,ARIMA,9.413755416870115,9.00220012664795,9.985169075976236,0.9829689493282867,0.10441836502005752
AAPL,30,2010-10-15,10,Chronos-2,9.413755416870115,9.00220012664795,9.798441886901855,0.7962417602539062,0.0845827966623166
AAPL,30,2010-10-15,20,Naive,9.413755416870115,9.21306324005127,9.413755416870115,0.20069217681884588,0.02131903453314621
AAPL,30,2010-10-15,20,ARIMA,9.413755416870115,9.21306324005127,10.581531695057778,1.368468455006509,0.14536902589949574
AAPL,30,2010-10-15,20,Chronos-2,9.413755416870115,9.21306324005127,9.873810768127441,0.6607475280761719,0.07018957884672306
AAPL,30,2011-02-15,1,Naive,10.764473915100098,10.861085891723633,10.764473915100098,0.09661197662353516,0.008975076477077959
AAPL,30,2011-02-15,1,ARIMA,10.764473915100098,10.861085891723633,10.792355321905927,0.06873056981770631,0.006384944620590582
AAPL,30,2011-02-15,1,Chronos-2,10.764473915100098,10.861085891723633,10.774407386779785,0.08667850494384766,0.008052275069593273
AAPL,30,2011-02-15,5,Naive,10.764473915100098,10.247636795043944,10.764473915100098,0.5168371200561541,0.04801322611141723
AAPL,30,2011-02-15,5,ARIMA,10.764473915100098,10.247636795043944,10.783952971053992,0.5363161760100486,0.04982279489364716
AAPL,30,2011-02-15,5,Chronos-2,10.764473915100098,10.247636795043944,10.7559814453125,0.5083446502685565,0.047224291152349274
AAPL,30,2011-02-15,10,Naive,10.764473915100098,10.531778335571287,10.764473915100098,0.23269557952881037,0.021616995067672673
AAPL,30,2011-02-15,10,ARIMA,10.764473915100098,10.531778335571287,10.779842897663004,0.24806456209171657,0.023044745525718446
AAPL,30,2011-02-15,10,Chronos-2,10.764473915100098,10.531778335571287,10.774872779846191,0.24309444427490412,0.022583030642482016
AAPL,30,2011-02-15,20,Naive,10.764473915100098,9.870478630065918,10.764473915100098,0.8939952850341797,0.08305053197073653
AAPL,30,2011-02-15,20,ARIMA,10.764473915100098,9.870478630065918,10.780526671532359,0.9100480414664407,0.08454180377453013
AAPL,30,2011-02-15,20,Chronos-2,10.764473915100098,9.870478630065918,10.934402465820312,1.0639238357543945,0.0988365845043252
AAPL,30,2011-06-17,1,Naive,9.578856468200684,9.431102752685549,9.578856468200684,0.14775371551513494,0.015424984809579212
AAPL,30,2011-06-17,1,ARIMA,9.578856468200684,9.431102752685549,9.553699258281895,0.12259650559634672,0.012798657752450482
AAPL,30,2011-06-17,1,Chronos-2,9.578856468200684,9.431102752685549,9.593001365661621,0.16189861297607244,0.016901663942197387
AAPL,30,2011-06-17,5,Naive,9.578856468200684,9.761006355285645,9.578856468200684,0.18214988708496094,0.019015828005112256
AAPL,30,2011-06-17,5,ARIMA,9.578856468200684,9.761006355285645,9.561371685731388,0.19963466955425702,0.02084117976054789
AAPL,30,2011-06-17,5,Chronos-2,9.578856468200684,9.761006355285645,9.589873313903809,0.17113304138183594,0.017865706825230587
AAPL,30,2011-06-17,10,Naive,9.578856468200684,10.266779899597168,9.578856468200684,0.6879234313964844,0.07181686391065689
