ticker,history_length,horizon,model,observations,mean_price_mae,mean_return_abs_error
AAPL,30,1,ARIMA,50,1.086281893009908,0.013128683930185809
AAPL,30,1,Chronos-2,50,1.2201079559326167,0.01469861834679067
AAPL,30,1,Naive,50,1.1057069778442357,0.014168285702153999
AAPL,30,5,ARIMA,50,3.4107342907255,0.03426999402300387
AAPL,30,5,Chronos-2,50,3.7221474170684803,0.04047896615338238
AAPL,30,5,Naive,50,3.305162563323974,0.032904897478495815
AAPL,30,10,ARIMA,50,4.090564425700835,0.04583074889157555
AAPL,30,10,Chronos-2,50,4.761364803314208,0.05081972627048611
AAPL,30,10,Naive,50,3.984772214889528,0.04378387927308606
AAPL,30,20,ARIMA,50,6.02223517578091,0.07404008800740287
AAPL,30,20,Chronos-2,50,5.989672784805298,0.07296703944196029
AAPL,30,20,Naive,50,5.798254861831667,0.06907136201203949
AAPL,60,1,ARIMA,50,1.5855881586036817,0.014153005639151948
AAPL,60,1,Chronos-2,50,1.7060728168487556,0.014516737156170644
AAPL,60,1,Naive,50,1.5661441421508773,0.014107650110207428
AAPL,60,5,ARIMA,50,3.191656320667063,0.03390518142111134
AAPL,60,5,Chronos-2,50,3.5609992504119883,0.03574580085770917
AAPL,60,5,Naive,50,3.1996642112731943,0.03368660651501155
AAPL,60,10,ARIMA,50,4.6056318872100155,0.05185294089866924
AAPL,60,10,Chronos-2,50,4.813566465377807,0.05027573340524761
AAPL,60,10,Naive,50,4.528725862503051,0.050241968368749716
AAPL,60,20,ARIMA,50,6.685534853149022,0.07667956065322015
AAPL,60,20,Chronos-2,50,6.849264640808104,0.07729683262101872
AAPL,60,20,Naive,50,6.554634771347042,0.073092908129965
AAPL,90,1,ARIMA,50,1.084839577874854,0.012274844246460694
AAPL,90,1,Chronos-2,50,1.2098308658599877,0.01361286384472154
AAPL,90,1,Naive,50,1.1691895866394049,0.012832463494819773
AAPL,90,5,ARIMA,50,2.721915576489215,0.029176974985232463
AAPL,90,5,Chronos-2,50,2.710318794250489,0.02995267596482762
AAPL,90,5,Naive,50,2.6295098304748534,0.0287629071541941
AAPL,90,10,ARIMA,50,3.3553810080623343,0.04495864386807453
AAPL,90,10,Chronos-2,50,3.58975372314453,0.0475516117784419
AAPL,90,10,Naive,50,3.2021002674102768,0.043706176443328325
AAPL,90,20,ARIMA,50,5.274020976220295,0.055513422397693225
AAPL,90,20,Chronos-2,50,5.3405054187774645,0.05940547713643163
AAPL,90,20,Naive,50,5.112953472137452,0.0550771998608485
AAPL,180,1,ARIMA,50,1.0565168656251713,0.00983750733298087
AAPL,180,1,Chronos-2,50,1.1011402320861827,0.010481501951052862
AAPL,180,1,Naive,50,1.011396312713621,0.009276256155903646
AAPL,180,1,XGBoost,50,1.205245891948211,0.01209657015221108
AAPL,180,5,ARIMA,50,2.65472794762476,0.028395539349442816
AAPL,180,5,Chronos-2,50,2.750373001098633,0.029010679588809242
AAPL,180,5,Naive,50,2.635237731933594,0.028043370277588315
AAPL,180,5,XGBoost,50,3.3242763810065616,0.037038923538139104
AAPL,180,10,ARIMA,50,3.208407859175689,0.04030702691408652
AAPL,180,10,Chronos-2,50,3.43926815032959,0.04347166104668604
AAPL,180,10,Naive,50,3.151639308929443,0.03979330946062012
AAPL,180,10,XGBoost,50,5.397486456190743,0.05633730055382667
AAPL,180,20,ARIMA,50,6.210184265258529,0.07036064993742346
AAPL,180,20,Chronos-2,50,6.806623420715333,0.07414431994521704
