ticker,experiment,cutoff_date,horizon,last_price,actual,Naive,ARIMA,ETS,GARCH,EGARCH,GJR-GARCH,XGBoost,LightGBM,VAR,Chronos-2,Chronos_P10,Chronos_P90,Naive_price_mae,Naive_return_abs_error,Naive_direction_hit,ARIMA_price_mae,ARIMA_return_abs_error,ARIMA_direction_hit,ETS_price_mae,ETS_return_abs_error,ETS_direction_hit,GARCH_price_mae,GARCH_return_abs_error,GARCH_direction_hit,EGARCH_price_mae,EGARCH_return_abs_error,EGARCH_direction_hit,GJR-GARCH_price_mae,GJR-GARCH_return_abs_error,GJR-GARCH_direction_hit,XGBoost_price_mae,XGBoost_return_abs_error,XGBoost_direction_hit,LightGBM_price_mae,LightGBM_return_abs_error,LightGBM_direction_hit,VAR_price_mae,VAR_return_abs_error,VAR_direction_hit,Chronos-2_price_mae,Chronos-2_return_abs_error,Chronos-2_direction_hit,Chronos_P10_breach,Chronos_P90_breach
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,10.527891159057615,10.574847221374512,10.527891159057615,10.52828988610476,10.532310003377285,10.552238466462953,10.549437119779173,10.550252771588644,10.511784381412598,10.54000346459245,,10.575468063354492,10.369209289550781,10.742615699768066,0.04695606231689631,0.004460158412304516,0.0,0.046557335269751476,0.004422285010963201,1.0,0.04253721799722676,0.0040404310183841385,1.0,0.022608754911559004,0.002147510319966406,1.0,0.025410101595339185,0.0024135984321493886,1.0,0.024594449785867667,0.0023361231052154707,1.0,0.06306283996191375,0.005990073321346823,0.0,0.03484375678206142,0.003309661569979694,1.0,,,,0.0006208419799804688,5.897116246744716e-05,1.0,False,False
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,10.527891159057615,9.890216827392578,10.527891159057615,10.528160332094352,10.549765549496827,10.65019206730806,,10.640175200179982,10.72758813112017,10.705295437231728,,10.61052131652832,10.213316917419434,10.996150970458984,0.6376743316650373,0.06056999659579665,0.0,0.6379435047017736,0.06059556420783485,0.0,0.6595487221042493,0.06264775273030909,0.0,0.759975239915482,0.07218684430087796,0.0,,,,0.749958372787404,0.07123538431931653,0.0,0.8373713037275916,0.07953837013286025,0.0,0.8150786098391496,0.07742088111709822,0.0,,,,0.7203044891357422,0.06841868691965258,0.0,True,False
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,10.527891159057615,10.514430046081545,10.527891159057615,10.528143851430505,10.571098523745784,10.773913726583842,,10.75365679413608,10.976696120465219,11.162028920430746,,10.683197021484375,10.118484497070312,11.217031478881836,0.013461112976070666,0.0012786143751580825,0.0,0.013713805348960051,0.0013026165584132388,0.0,0.05666847766423899,0.0053826998026557105,0.0,0.25948368050229753,0.02464726093592373,0.0,,,,0.23922674805453603,0.022723140317490675,0.0,0.46226607438367395,0.04390870568470551,0.0,0.6475988743492014,0.06151268706763202,0.0,,,,0.16876697540283025,0.01603046354232418,0.0,False,False
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,10.527891159057615,10.021523475646973,10.527891159057615,10.528144798699312,10.612193488203609,11.025685508536561,,10.984263866232874,11.105358509486647,11.334379832044148,,10.792703628540039,9.922260284423828,11.603616714477539,0.5063676834106428,0.04809773161218445,0.0,0.5066213230523395,0.048121823772510286,0.0,0.590670012556636,0.056105254474297706,0.0,1.0041620328895888,0.09538111837579777,0.0,,,,0.9627403905859016,0.09144665118974116,0.0,1.0838350338396747,0.10294892086789886,0.0,1.312856356397175,0.12470269083924435,0.0,,,,0.7711801528930664,0.07325115174937813,0.0,False,False
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,10.45132541656494,10.521010398864746,10.45132541656494,10.451999088374908,10.454155998842856,10.469077167387635,10.465897019249072,10.466625371689943,10.495959471456374,10.548370226467016,,10.448614120483398,10.230386734008789,10.635138511657715,0.06968498229980646,0.006667573682985539,0.0,0.069011310489838,0.006603115656551806,1.0,0.06685440002189047,0.00639673891657111,1.0,0.051933231477111264,0.004969056976716013,1.0,0.05511337961567442,0.005273338779435699,1.0,0.05438502717480276,0.005203648820330864,1.0,0.02505092740837256,0.0023969139233448455,1.0,0.02735982760226996,0.002617833290206928,1.0,,,,0.07239627838134766,0.006926994949999599,0.0,False,False
AAPL,Experiment 1 — Univariate Close,2011-07-05,5,10.45132541656494,10.58053493499756,10.45132541656494,10.451793388330163,10.46533751541435,10.5403861996976,,10.52804950016675,10.491440892282395,10.428040744052817,,10.43220329284668,9.996238708496094,10.881811141967773,0.12920951843262074,0.012362979170835953,0.0,0.12874154666739734,0.012318202862896976,1.0,0.11519741958321106,0.01102227851413251,1.0,0.04014873529995988,0.0038414970063342935,1.0,,,,0.05248543483081036,0.005021892701534636,1.0,0.08909404271516586,0.008524664496041279,1.0,0.15249419094474348,0.014590894921618913,0.0,,,,0.14833164215088068,0.01419261540892991,0.0,False,False
AAPL,Experiment 1 — Univariate Close,2011-07-05,10,10.45132541656494,11.271445274353027,10.45132541656494,10.45178219332757,10.479002799986393,10.630205912705284,,10.60533682190056,10.25297923165729,10.251795049903262,,10.469527244567871,9.86352825164795,11.075630187988281,0.8201198577880877,0.07847041644002672,0.0,0.8196630810254568,0.07842671128834255,1.0,0.7924424743666343,0.07582219888691277,1.0,0.6412393616477434,0.06135483645274342,1.0,,,,0.6661084524524679,0.06373435195087418,1.0,1.0184660426957368,0.09744850553418871,0.0,1.0196502244497658,0.09756180999145425,0.0,,,,0.8019180297851562,0.07672883560913202,1.0,False,True
AAPL,Experiment 1 — Univariate Close,2011-07-05,20,10.45132541656494,11.63215160369873,10.45132541656494,10.451782454726386,10.505327042318504,10.812148052285483,,10.76161774923727,10.35678585657313,10.045764947465535,,10.536615371704102,9.644461631774902,11.430925369262695,1.1808261871337908,0.11298339110771805,0.0,1.1803691489723445,0.11293966094496555,1.0,1.1268245613802268,0.10781642676576264,1.0,0.8200035514132473,0.07845928805485025,1.0,,,,0.8705338544614598,0.08329411053278446,1.0,1.2753657471256012,0.1220290916503467,0.0,1.586386656233195,0.15178808361653673,0.0,,,,1.095536231994629,0.10482270796565629,1.0,False,True
AAPL,Experiment 1 — Univariate Close,2011-10-25,1,11.897151947021484,11.98179817199707,11.897151947021484,11.918798404243443,11.899233516444227,11.918941089917977,11.91581693433481,11.916419665378314,12.138258345248403,12.217896369618025,,11.85892105102539,11.592132568359375,12.048331260681152,0.08464622497558594,0.007114830957233975,0.0,0.06299976775362737,0.005295365481937875,1.0,0.08256465555284365,0.0069398672825653485,1.0,0.06285708207909302,0.005283372218745974,1.0,0.06598123766226038,0.0055459691492616425,1.0,0.06537850661875666,0.005495307356742973,1.0,0.15646017325133244,0.013151061190783908,1.0,0.2360981976209544,0.019844934205456077,1.0,,,,0.12287712097167969,0.01032828037490452,0.0,False,False
AAPL,Experiment 1 — Univariate Close,2011-10-25,5,11.897151947021484,11.859468460083008,11.897151947021484,11.917441951642452,11.90745622054874,12.006497452195465,,11.99380308982569,12.447814280521882,12.571760793726103,,11.943990707397461,11.344172477722168,12.539384841918945,0.03768348693847656,0.0031674376444280616,0.0,0.05797349155944431,0.004872888218760418,0.0,0.047987760465732165,0.00403355027147867,0.0,0.1470289921124568,0.012358335235792883,0.0,,,,0.13433462974268195,0.01129132672599964,0.0,0.5883458204388745,0.04945266086024647,0.0,0.7122923336430951,0.059870827641351654,0.0,,,,0.08452224731445312,0.007104410172353304,0.0,False,False
