experiment,ticker,horizon,model,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
Experiment 1 — Univariate Close,AMZN,10,ETS,50,5.078036065650248,1.5805408178618574,0.04638412313227715,0.58
Experiment 1 — Univariate Close,AMZN,10,GARCH,50,4.78185985571519,1.6158363080314793,0.04524216430475742,0.6
Experiment 1 — Univariate Close,AMZN,10,GJR-GARCH,50,4.808859418074547,1.610232955751684,0.04517862262152764,0.6
Experiment 1 — Univariate Close,AMZN,10,LightGBM,50,5.822859333765972,2.1398160422237993,0.05573932631313094,0.54
Experiment 1 — Univariate Close,AMZN,10,Naive,50,5.127041244506837,1.6054983139038086,0.046602770333334924,0.0
Experiment 1 — Univariate Close,AMZN,10,XGBoost,50,5.419068419877238,1.9498725521874007,0.04964691878690853,0.54
Experiment 1 — Univariate Close,AMZN,20,ARIMA,50,6.3670570231287265,1.8237343614992785,0.06648326293909207,0.5
Experiment 1 — Univariate Close,AMZN,20,Chronos-2,50,6.273721637725831,2.406158447265625,0.06490067536215503,0.56
Experiment 1 — Univariate Close,AMZN,20,ETS,50,6.259977641152677,2.096017901797534,0.06472890187198249,0.48
Experiment 1 — Univariate Close,AMZN,20,GARCH,50,6.2748087727025075,2.9957275069453093,0.06547222150846643,0.54
Experiment 1 — Univariate Close,AMZN,20,GJR-GARCH,50,6.242026784319972,3.2249930155457385,0.06509504323973507,0.54
Experiment 1 — Univariate Close,AMZN,20,LightGBM,50,7.5465802209043025,3.2255212630014647,0.0749382931571101,0.74
Experiment 1 — Univariate Close,AMZN,20,Naive,50,6.20187002182007,2.036247253417983,0.06424552877572327,0.0
Experiment 1 — Univariate Close,AMZN,20,XGBoost,50,8.078667285199804,3.4595232568138172,0.08029075594680421,0.68
Experiment 1 — Univariate Close,CVNA,1,ARIMA,50,1.311223933473862,0.5997427225275529,0.046281833325578996,0.44
Experiment 1 — Univariate Close,CVNA,1,Chronos-2,50,1.3442736077308655,0.7027139663696289,0.049901567437381784,0.48
Experiment 1 — Univariate Close,CVNA,1,EGARCH,50,1.3014571656229976,0.5678195955227898,0.045902025262342515,0.4
Experiment 1 — Univariate Close,CVNA,1,ETS,50,1.3008480207695396,0.5914598114565637,0.047728307003006884,0.38
Experiment 1 — Univariate Close,CVNA,1,GARCH,50,1.3037380697717256,0.5677876179434747,0.04603817046503347,0.38
Experiment 1 — Univariate Close,CVNA,1,GJR-GARCH,50,1.303619565979603,0.5680318588459419,0.046070123978564324,0.36
Experiment 1 — Univariate Close,CVNA,1,LightGBM,50,1.5567860705580039,0.761064656142393,0.055715933669142174,0.38
Experiment 1 — Univariate Close,CVNA,1,Naive,50,1.2933198761939997,0.5829994678497314,0.045635954448773594,0.02
Experiment 1 — Univariate Close,CVNA,1,XGBoost,50,1.4367182848039641,0.6786622970105407,0.05753336537943838,0.38
Experiment 1 — Univariate Close,CVNA,5,ARIMA,50,2.4656014967043594,1.3580231492166401,0.10104993225795068,0.54
Experiment 1 — Univariate Close,CVNA,5,Chronos-2,50,2.600133076906204,1.6477651596069336,0.10906062451351481,0.44
Experiment 1 — Univariate Close,CVNA,5,ETS,50,2.457421951978933,1.5620243224841857,0.09724053044260848,0.52
Experiment 1 — Univariate Close,CVNA,5,GARCH,50,2.4930864684835963,1.31929291676461,0.10169568847353018,0.46
Experiment 1 — Univariate Close,CVNA,5,GJR-GARCH,50,2.491621847091883,1.3710542560316696,0.10170535629020767,0.44
Experiment 1 — Univariate Close,CVNA,5,LightGBM,50,2.686696006148484,1.6523667578599266,0.12863594684780072,0.56
Experiment 1 — Univariate Close,CVNA,5,Naive,50,2.4698403894901273,1.4669985771179164,0.10104669415326185,0.0
Experiment 1 — Univariate Close,CVNA,5,XGBoost,50,2.650157031418608,2.0115493596579377,0.12666593111284366,0.58
Experiment 1 — Univariate Close,CVNA,10,ARIMA,50,3.1234654296044315,1.9998887158821157,0.1287667366424836,0.5
Experiment 1 — Univariate Close,CVNA,10,Chronos-2,50,3.3971290230751037,2.3802356719970703,0.14384148591797008,0.38
Experiment 1 — Univariate Close,CVNA,10,ETS,50,3.2331331601370654,1.9974513362713378,0.13320128233107242,0.5
Experiment 1 — Univariate Close,CVNA,10,GARCH,50,3.203526957999179,1.9449108699344606,0.1319965233506394,0.46
Experiment 1 — Univariate Close,CVNA,10,GJR-GARCH,50,3.2111304550258155,1.9818496050376586,0.13242665160951061,0.44
Experiment 1 — Univariate Close,CVNA,10,LightGBM,50,4.48421940950004,3.4240971812723835,0.18535064906372764,0.44
Experiment 1 — Univariate Close,CVNA,10,Naive,50,3.1259596276283257,2.0259976387023926,0.12878512217794558,0.0
Experiment 1 — Univariate Close,CVNA,10,XGBoost,50,4.520242053485656,3.391344122076596,0.18478329793189047,0.38
Experiment 1 — Univariate Close,CVNA,20,ARIMA,50,4.6999069951370425,2.942162445006808,0.1935601371927977,0.52
Experiment 1 — Univariate Close,CVNA,20,Chronos-2,50,4.973008148670196,3.6049766540527344,0.2288775040686595,0.46
Experiment 1 — Univariate Close,CVNA,20,ETS,50,4.735152558986727,3.2179591408264336,0.21526958249393666,0.52
Experiment 1 — Univariate Close,CVNA,20,GARCH,50,4.73097518375414,2.821034244644581,0.19617687398886038,0.52
Experiment 1 — Univariate Close,CVNA,20,GJR-GARCH,50,4.736837159837518,3.0365392518973655,0.19700028223588284,0.5
Experiment 1 — Univariate Close,CVNA,20,LightGBM,50,7.514513447436989,5.420748045513923,0.31428701627468003,0.36
Experiment 1 — Univariate Close,CVNA,20,Naive,50,4.689639966487884,3.000000476837159,0.19342254100848108,0.0
Experiment 1 — Univariate Close,CVNA,20,XGBoost,50,7.261916093026109,4.966836679653909,0.3092238454516219,0.42
Experiment 1 — Univariate Close,ENPH,1,ARIMA,50,2.3242981494039943,0.37384272822963993,0.03834628144066162,0.56
Experiment 1 — Univariate Close,ENPH,1,Chronos-2,50,2.566494959592819,0.6841573715209961,0.03674542123765395,0.58
Experiment 1 — Univariate Close,ENPH,1,EGARCH,50,2.3096711025713508,0.3694930087910233,0.03832910341512174,0.62
Experiment 1 — Univariate Close,ENPH,1,ETS,50,2.3244595017995384,0.3707738590071621,0.038659850811655974,0.5
Experiment 1 — Univariate Close,ENPH,1,GARCH,50,2.30701690004466,0.3696314301414798,0.038313846272976154,0.64
Experiment 1 — Univariate Close,ENPH,1,GJR-GARCH,50,2.307390417731168,0.36947357416353555,0.03831009305497107,0.64
Experiment 1 — Univariate Close,ENPH,1,LightGBM,50,2.54418845871778,0.4448713425395412,0.041281750048780805,0.52
Experiment 1 — Univariate Close,ENPH,1,Naive,50,2.326600271463394,0.36999988555908203,0.038418012328511504,0.0
Experiment 1 — Univariate Close,ENPH,1,XGBoost,50,2.6634055968086003,0.29473297501451867,0.04019648814494521,0.5
Experiment 1 — Univariate Close,ENPH,5,ARIMA,50,5.274953337760611,0.9718431353896948,0.08144370280129429,0.58
Experiment 1 — Univariate Close,ENPH,5,Chronos-2,50,5.19540186882019,1.150437355041504,0.07834897929125123,0.66
Experiment 1 — Univariate Close,ENPH,5,ETS,50,5.209107688729717,0.9850085285151877,0.082017832213655,0.48
Experiment 1 — Univariate Close,ENPH,5,GARCH,50,5.2716547979262245,0.9676522842617468,0.08284529961629189,0.42
Experiment 1 — Univariate Close,ENPH,5,GJR-GARCH,50,5.270477225978258,0.962885343228292,0.08302590164865595,0.42
Experiment 1 — Univariate Close,ENPH,5,LightGBM,50,7.797770809504714,1.2946935558575943,0.10336119086269663,0.4
Experiment 1 — Univariate Close,ENPH,5,Naive,50,5.254599337577819,0.9650001525878951,0.08140997250996239,0.0
Experiment 1 — Univariate Close,ENPH,5,XGBoost,50,6.98903874564739,1.382312247327988,0.09577433153629275,0.46
Experiment 1 — Univariate Close,ENPH,10,ARIMA,50,7.868668539964444,2.126791564547224,0.13040791893218537,0.64
Experiment 1 — Univariate Close,ENPH,10,Chronos-2,50,7.706483891010285,1.8737132549285889,0.13390829723851622,0.62
Experiment 1 — Univariate Close,ENPH,10,ETS,50,7.744211415923505,2.1257667906503315,0.13046648601881916,0.54
Experiment 1 — Univariate Close,ENPH,10,GARCH,50,7.94693516470971,2.4280352991444003,0.13454379770994943,0.36
Experiment 1 — Univariate Close,ENPH,10,GJR-GARCH,50,7.946337154969244,2.427172604121714,0.1348556814826371,0.36
