ticker,horizon,model,model_type,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
AAPL,1,Chronos-2,chronos_pretrained,50,1.0653442665142738,0.626773815596275,0.011673928779760067,0.6
AAPL,1,Chronos-LoRA-V1,chronos_lora,50,1.0594465866648632,0.6336017155473819,0.01166116815271358,0.6
AAPL,1,Chronos-LoRA-V2,chronos_lora,50,1.0501855717074067,0.5841585290866913,0.01154685873020812,0.62
AAPL,1,Chronos-LoRA-V3,chronos_lora,50,1.0510388103254484,0.5791227590371868,0.011558095867477445,0.62
AAPL,1,Chronos-LoRA-V4,chronos_lora,50,1.0560599776255704,0.628499883956211,0.011636999570793687,0.62
AAPL,1,Chronos-LoRA-V5,chronos_lora,0,,,,
AAPL,5,Chronos-2,chronos_pretrained,50,2.8948528868761074,1.1099984270906162,0.027433834644919327,0.6
AAPL,5,Chronos-LoRA-V1,chronos_lora,50,2.8832107093527766,1.163430770662492,0.027432372098103553,0.6
AAPL,5,Chronos-LoRA-V2,chronos_lora,50,2.8868829943536327,1.1131821892450287,0.02730776436084557,0.62
AAPL,5,Chronos-LoRA-V3,chronos_lora,50,2.882244550870285,1.1254167944599267,0.027312484288176807,0.62
AAPL,5,Chronos-LoRA-V4,chronos_lora,50,2.890511836233999,1.168367950377455,0.027605794820256414,0.62
AAPL,5,Chronos-LoRA-V5,chronos_lora,0,,,,
AAPL,10,Chronos-2,chronos_pretrained,50,3.345200855054398,1.3381899728246474,0.03587636506818171,0.66
AAPL,10,Chronos-LoRA-V1,chronos_lora,50,3.321690122511801,1.5641530013258915,0.0356652451059515,0.68
AAPL,10,Chronos-LoRA-V2,chronos_lora,50,3.2720013078177974,1.4479275672747072,0.03463892197488888,0.68
AAPL,10,Chronos-LoRA-V3,chronos_lora,50,3.2952778525768953,1.5027754461634935,0.03515250955492024,0.68
AAPL,10,Chronos-LoRA-V4,chronos_lora,50,3.286767919564558,1.6358626831955263,0.0351259570053139,0.68
AAPL,10,Chronos-LoRA-V5,chronos_lora,0,,,,
AAPL,20,Chronos-2,chronos_pretrained,50,5.9389316144708,1.85386669891885,0.06566236047599419,0.66
AAPL,20,Chronos-LoRA-V1,chronos_lora,50,5.921458935773964,2.079435497373124,0.06515365747296871,0.68
AAPL,20,Chronos-LoRA-V2,chronos_lora,50,5.868398200087056,2.0757181106444245,0.06473354271992347,0.68
AAPL,20,Chronos-LoRA-V3,chronos_lora,50,5.873507193810103,2.0417455393510657,0.06482912010512056,0.68
AAPL,20,Chronos-LoRA-V4,chronos_lora,50,5.902161280112434,2.3090062049140627,0.06492034684773226,0.68
AAPL,20,Chronos-LoRA-V5,chronos_lora,0,,,,
AMZN,1,Chronos-2,chronos_pretrained,50,1.1272550774089165,0.4422159202219689,0.013260754489773246,0.62
AMZN,1,Chronos-LoRA-V1,chronos_lora,50,1.1289354760321135,0.4640546234278986,0.013262310232984157,0.6
AMZN,1,Chronos-LoRA-V2,chronos_lora,50,1.1201264875903603,0.4176956317116378,0.013197766374199863,0.64
AMZN,1,Chronos-LoRA-V3,chronos_lora,50,1.1211788196716013,0.4157662668480979,0.013191989971216846,0.64
AMZN,1,Chronos-LoRA-V4,chronos_lora,50,1.1276957376436725,0.47861049818978074,0.013261673808856601,0.58
AMZN,1,Chronos-LoRA-V5,chronos_lora,0,,,,
AMZN,5,Chronos-2,chronos_pretrained,50,3.214432209567403,1.0817362528748333,0.03272526578452363,0.58
AMZN,5,Chronos-LoRA-V1,chronos_lora,50,3.225284434824113,1.2072854031784495,0.0327379990308424,0.56
AMZN,5,Chronos-LoRA-V2,chronos_lora,50,3.217748262855283,1.3356766670293858,0.03300426290943835,0.56
AMZN,5,Chronos-LoRA-V3,chronos_lora,50,3.222218061244576,1.3112792814455005,0.03286311052486513,0.56
