ticker,cutoff_date,horizon,model,model_type,actual,last_price,prediction,price_mae,return_abs_error,direction_hit
AAPL,2011-03-11,1,Chronos-2,chronos_pretrained,10.574847221374512,10.527891159057615,10.549739606904819,0.025107614469693118,0.002384866455243717,1.0
AAPL,2011-03-11,5,Chronos-2,chronos_pretrained,9.890216827392578,10.527891159057615,10.641365044936682,0.7511482175441042,0.07134840265686626,0.0
AAPL,2011-03-11,10,Chronos-2,chronos_pretrained,10.514430046081545,10.527891159057615,10.755336860937533,0.24090681485598786,0.02288272278049963,0.0
AAPL,2011-03-11,20,Chronos-2,chronos_pretrained,10.021523475646973,10.527891159057615,10.954867882274137,0.9333444066271639,0.08865445059471067,0.0
AAPL,2011-07-05,1,Chronos-2,chronos_pretrained,10.521010398864746,10.45132541656494,10.467922248335766,0.053088150528980194,0.005079561530524801,1.0
AAPL,2011-07-05,5,Chronos-2,chronos_pretrained,10.58053493499756,10.45132541656494,10.53043717350167,0.050097761495889515,0.004793436191020017,1.0
AAPL,2011-07-05,10,Chronos-2,chronos_pretrained,11.271445274353027,10.45132541656494,10.60407887484556,0.6673663995074666,0.06385471439342183,1.0
AAPL,2011-07-05,20,Chronos-2,chronos_pretrained,11.63215160369873,10.45132541656494,10.761551882582886,0.8705997211158447,0.0833004127625745,1.0
AAPL,2011-10-25,1,Chronos-2,chronos_pretrained,11.98179817199707,11.897151947021484,11.912659101803609,0.06913907019346155,0.00581139675288167,1.0
AAPL,2011-10-25,5,Chronos-2,chronos_pretrained,11.859468460083008,11.897151947021484,11.98912939454984,0.12966093446683224,0.01089848520420833,0.0
AAPL,2011-10-25,10,Chronos-2,chronos_pretrained,12.150190353393556,11.897151947021484,12.09208759737038,0.05810275602317638,0.0048837533791206145,1.0
AAPL,2011-10-25,20,Chronos-2,chronos_pretrained,11.261275291442873,11.897151947021484,12.300652079430163,1.0393767879872904,0.08736349612207006,0.0
AAPL,2012-02-17,1,Chronos-2,chronos_pretrained,15.398975372314451,15.018218040466309,15.05993121645808,0.3390441558563708,0.02257552493530346,1.0
AAPL,2012-02-17,5,Chronos-2,chronos_pretrained,15.72528839111328,15.018218040466309,15.226250335037133,0.49903805607614693,0.03322884610754073,1.0
AAPL,2012-02-17,10,Chronos-2,chronos_pretrained,15.946621894836426,15.018218040466309,15.431065423807935,0.515556471028491,0.034328737912802554,1.0
AAPL,2012-02-17,20,Chronos-2,chronos_pretrained,17.978675842285156,15.018218040466309,15.85105767496197,2.1276181673231864,0.14166914886908422,1.0
AAPL,2012-06-12,1,Chronos-2,chronos_pretrained,17.11309242248535,17.232736587524414,17.249841516228187,0.13674909374283573,0.007935425290596876,0.0
AAPL,2012-06-12,5,Chronos-2,chronos_pretrained,17.569217681884766,17.232736587524414,17.325696984407838,0.24352069747692795,0.014131284154440316,1.0
AAPL,2012-06-12,10,Chronos-2,chronos_pretrained,17.10921287536621,17.232736587524414,17.408356045895907,0.2991431705296961,0.017359005576993436,0.0
AAPL,2012-06-12,20,Chronos-2,chronos_pretrained,18.078277587890625,17.232736587524414,17.574851689061685,0.5034258988289402,0.029213346137571206,1.0
AAPL,2012-10-03,1,Chronos-2,chronos_pretrained,20.02937126159668,20.16904640197754,20.203855457638685,0.17448419604200538,0.008651088036809473,0.0
AAPL,2012-10-03,5,Chronos-2,chronos_pretrained,19.25168800354004,20.16904640197754,20.324430193994303,1.0727421904542638,0.053187551313734094,0.0
AAPL,2012-10-03,10,Chronos-2,chronos_pretrained,19.362823486328125,20.16904640197754,20.480892645969206,1.118069159641081,0.0554349044252016,0.0
AAPL,2012-10-03,20,Chronos-2,chronos_pretrained,17.32594108581543,20.16904640197754,20.79672901571015,3.470787929894719,0.17208488000475897,0.0
AAPL,2013-01-30,1,Chronos-2,chronos_pretrained,13.744524002075195,13.784954071044922,13.79593664162076,0.051412639545564076,0.003729619937839046,0.0
AAPL,2013-01-30,5,Chronos-2,chronos_pretrained,13.800649642944336,13.784954071044922,13.837729287333987,0.03707964438965128,0.0026898634698779844,1.0
AAPL,2013-01-30,10,Chronos-2,chronos_pretrained,14.174271583557127,13.784954071044922,13.918579771621527,0.2556918119356002,0.01854861544099573,1.0
AAPL,2013-01-30,20,Chronos-2,chronos_pretrained,13.396982192993164,13.784954071044922,14.09334901418701,0.6963668211938465,0.050516441157867575,0.0
AAPL,2013-05-23,1,Chronos-2,chronos_pretrained,13.600221633911133,13.508260726928713,13.542183931845084,0.058037702066048524,0.004296460013564207,1.0
AAPL,2013-05-23,5,Chronos-2,chronos_pretrained,13.740154266357422,13.508260726928713,13.66736774960974,0.07278651674768177,0.0053882967037037766,1.0
AAPL,2013-05-23,10,Chronos-2,chronos_pretrained,13.498183250427246,13.508260726928713,13.81954597947573,0.3213627290484844,0.023790089304972395,0.0
AAPL,2013-05-23,20,Chronos-2,chronos_pretrained,12.63325023651123,13.508260726928713,14.110371746697579,1.4771215101863486,0.10934949658187365,0.0
AAPL,2013-09-16,1,Chronos-2,chronos_pretrained,14.002789497375488,13.842866897583008,13.825503634720715,0.17728586265477375,0.012807019237158768,0.0
AAPL,2013-09-16,5,Chronos-2,chronos_pretrained,15.089012145996094,13.842866897583008,13.774388101227283,1.3146240447688111,0.09496761433127332,0.0
AAPL,2013-09-16,10,Chronos-2,chronos_pretrained,14.66183853149414,13.842866897583008,13.7279817889404,0.9338567425537398,0.06746122385362197,0.0
AAPL,2013-09-16,20,Chronos-2,chronos_pretrained,15.255081176757812,13.842866897583008,13.769123754997018,1.4859574217607943,0.10734462974719816,0.0
