ticker,cutoff_date,model,horizon,lead,realized_return,q10,q50,q90,inside_80,lower_breach,upper_breach,interval_width
AAPL,2011-03-11,Chronos-2,1,1,0.004450241382521369,-0.014817610383033752,0.002073141513392329,0.01789504662156105,1.0,0.0,0.0,0.0327126570045948
AAPL,2011-03-11,Chronos-2,5,1,0.004450241382521369,-0.014817610383033752,0.002073141513392329,0.01789504662156105,1.0,0.0,0.0,0.0327126570045948
AAPL,2011-03-11,Chronos-2,5,2,-0.02326306891455676,-0.015295615419745445,0.0021530597005039454,0.018545661121606827,0.0,1.0,0.0,0.03384127654135227
AAPL,2011-03-11,Chronos-2,5,3,-0.04566686307138923,-0.015321632847189903,0.0020988124888390303,0.018619753420352936,0.0,1.0,0.0,0.03394138626754284
AAPL,2011-03-11,Chronos-2,5,4,0.013932037329581703,-0.01460588164627552,0.0021634260192513466,0.01807396300137043,1.0,0.0,0.0,0.03267984464764595
AAPL,2011-03-11,Chronos-2,5,5,-0.011934313723792389,-0.014076558873057365,0.002232293365523219,0.018057463690638542,1.0,0.0,0.0,0.03213402256369591
AAPL,2011-03-11,Chronos-2,10,1,0.004450241382521369,-0.014817610383033752,0.002073141513392329,0.01789504662156105,1.0,0.0,0.0,0.0327126570045948
AAPL,2011-03-11,Chronos-2,10,2,-0.02326306891455676,-0.015295615419745445,0.0021530597005039454,0.018545661121606827,0.0,1.0,0.0,0.03384127654135227
AAPL,2011-03-11,Chronos-2,10,3,-0.04566686307138923,-0.015321632847189903,0.0020988124888390303,0.018619753420352936,0.0,1.0,0.0,0.03394138626754284
AAPL,2011-03-11,Chronos-2,10,4,0.013932037329581703,-0.01460588164627552,0.0021634260192513466,0.01807396300137043,1.0,0.0,0.0,0.03267984464764595
AAPL,2011-03-11,Chronos-2,10,5,-0.011934313723792389,-0.014076558873057365,0.002232293365523219,0.018057463690638542,1.0,0.0,0.0,0.03213402256369591
AAPL,2011-03-11,Chronos-2,10,6,0.02576372231703683,-0.014424704015254974,0.0022163616959005594,0.017952317371964455,0.0,0.0,1.0,0.03237702138721943
AAPL,2011-03-11,Chronos-2,10,7,0.005584351081219019,-0.014382017776370049,0.0021868376061320305,0.017882972955703735,1.0,0.0,0.0,0.032264990732073784
AAPL,2011-03-11,Chronos-2,10,8,-0.005908800103461953,-0.01404614932835102,0.002112078480422497,0.01753854937851429,1.0,0.0,0.0,0.03158469870686531
AAPL,2011-03-11,Chronos-2,10,9,0.01689765256303044,-0.013683881610631943,0.0020409473218023777,0.017018776386976242,1.0,0.0,0.0,0.030702657997608185
AAPL,2011-03-11,Chronos-2,10,10,0.018865608639841103,-0.01344650611281395,0.0020970890764147043,0.017260277643799782,0.0,0.0,1.0,0.03070678375661373
AAPL,2011-03-11,Chronos-2,20,1,0.004450241382521369,-0.015618951991200447,0.0019804812036454678,0.018488379195332527,1.0,0.0,0.0,0.034107331186532974
AAPL,2011-03-11,Chronos-2,20,2,-0.02326306891455676,-0.01617690920829773,0.002029223833233118,0.019154172390699387,0.0,1.0,0.0,0.035331081598997116
AAPL,2011-03-11,Chronos-2,20,3,-0.04566686307138923,-0.016290126368403435,0.0020120369736105204,0.019129211083054543,0.0,1.0,0.0,0.03541933745145798
AAPL,2011-03-11,Chronos-2,20,4,0.013932037329581703,-0.015401704236865044,0.002045501722022891,0.01862962730228901,1.0,0.0,0.0,0.03403133153915405
AAPL,2011-03-11,Chronos-2,20,5,-0.011934313723792389,-0.014802467077970505,0.0021293351892381907,0.01855580136179924,1.0,0.0,0.0,0.033358268439769745
AAPL,2011-03-11,Chronos-2,20,6,0.02576372231703683,-0.015225805342197418,0.002131303306668997,0.01855875365436077,0.0,0.0,1.0,0.03378455899655819
AAPL,2011-03-11,Chronos-2,20,7,0.005584351081219019,-0.015208050608634949,0.002079612575471401,0.018515730276703835,1.0,0.0,0.0,0.03372378088533878
AAPL,2011-03-11,Chronos-2,20,8,-0.005908800103461953,-0.014840900897979736,0.0019982391968369484,0.01809210330247879,1.0,0.0,0.0,0.03293300420045853
AAPL,2011-03-11,Chronos-2,20,9,0.01689765256303044,-0.014353599399328232,0.001962450332939625,0.017539747059345245,1.0,0.0,0.0,0.03189334645867348
AAPL,2011-03-11,Chronos-2,20,10,0.018865608639841103,-0.014046596363186836,0.002006848808377981,0.017637992277741432,0.0,0.0,1.0,0.03168458864092827
AAPL,2011-03-11,Chronos-2,20,11,-0.003134016096087322,-0.014092965051531792,0.0019833077676594257,0.0176712516695261,1.0,0.0,0.0,0.03176421672105789
AAPL,2011-03-11,Chronos-2,20,12,0.0014829754467449163,-0.013847541995346546,0.0019301741849631071,0.017415178939700127,1.0,0.0,0.0,0.03126272093504667
AAPL,2011-03-11,Chronos-2,20,13,-0.006661372770181195,-0.013799226842820644,0.002107087755575776,0.01726689748466015,1.0,0.0,0.0,0.031066124327480793
AAPL,2011-03-11,Chronos-2,20,14,-0.0003442178187245126,-0.013823983259499073,0.0018938883440569043,0.017707673832774162,1.0,0.0,0.0,0.031531657092273235
AAPL,2011-03-11,Chronos-2,20,15,-0.011398597100850782,-0.013762839138507843,0.00200899550691247,0.01727227121591568,1.0,0.0,0.0,0.031035110354423523
AAPL,2011-03-11,Chronos-2,20,16,-0.00982885689499291,-0.013256008736789227,0.002008228562772274,0.01676834560930729,1.0,0.0,0.0,0.030024354346096516
AAPL,2011-03-11,Chronos-2,20,17,-0.006763862417287658,-0.011910280212759972,0.0019039260223507881,0.015364647842943668,1.0,0.0,0.0,0.02727492805570364
AAPL,2011-03-11,Chronos-2,20,18,-0.0025113262100115996,-0.012215476483106613,0.0018469179049134254,0.015577088110148907,1.0,0.0,0.0,0.02779256459325552
AAPL,2011-03-11,Chronos-2,20,19,0.00011884084913527104,-0.012067368254065514,0.0018379543907940388,0.015442958101630211,1.0,0.0,0.0,0.027510326355695724
AAPL,2011-03-11,Chronos-2,20,20,-0.008973043204864695,-0.011555819772183895,0.0018603630596771836,0.014938775449991226,1.0,0.0,0.0,0.02649459522217512
AAPL,2011-07-05,Chronos-2,1,1,0.006645443727850697,-0.018653132021427155,0.001586752594448626,0.02183999866247177,1.0,0.0,0.0,0.040493130683898926
AAPL,2011-07-05,Chronos-2,5,1,0.006645443727850697,-0.018653132021427155,0.001586752594448626,0.02183999866247177,1.0,0.0,0.0,0.040493130683898926
AAPL,2011-07-05,Chronos-2,5,2,0.015347072903914238,-0.01899123564362526,0.0015022241277620196,0.021845649927854538,1.0,0.0,0.0,0.0408368855714798
AAPL,2011-07-05,Chronos-2,5,3,0.007002041185355523,-0.01889481022953987,0.0014757353346794844,0.021557312458753586,1.0,0.0,0.0,0.04045212268829346
AAPL,2011-07-05,Chronos-2,5,4,-0.016001509411843973,-0.018367353826761246,0.001409427379257977,0.021243441849946976,1.0,0.0,0.0,0.03961079567670822
AAPL,2011-07-05,Chronos-2,5,5,-0.0007058667785329042,-0.017690181732177734,0.0015668983105570078,0.020919401198625565,1.0,0.0,0.0,0.0386095829308033
AAPL,2011-07-05,Chronos-2,10,1,0.006645443727850697,-0.018653132021427155,0.001586752594448626,0.02183999866247177,1.0,0.0,0.0,0.040493130683898926
AAPL,2011-07-05,Chronos-2,10,2,0.015347072903914238,-0.01899123564362526,0.0015022241277620196,0.021845649927854538,1.0,0.0,0.0,0.0408368855714798
AAPL,2011-07-05,Chronos-2,10,3,0.007002041185355523,-0.01889481022953987,0.0014757353346794844,0.021557312458753586,1.0,0.0,0.0,0.04045212268829346
AAPL,2011-07-05,Chronos-2,10,4,-0.016001509411843973,-0.018367353826761246,0.001409427379257977,0.021243441849946976,1.0,0.0,0.0,0.03961079567670822
AAPL,2011-07-05,Chronos-2,10,5,-0.0007058667785329042,-0.017690181732177734,0.0015668983105570078,0.020919401198625565,1.0,0.0,0.0,0.0386095829308033
AAPL,2011-07-05,Chronos-2,10,6,0.011998134335696964,-0.01751548796892166,0.0015625854721292853,0.02026582509279251,1.0,0.0,0.0,0.03778131306171417
AAPL,2011-07-05,Chronos-2,10,7,-0.0006983836209419891,-0.017683938145637512,0.0013861168408766389,0.020144660025835037,1.0,0.0,0.0,0.03782859817147255
AAPL,2011-07-05,Chronos-2,10,8,0.01978747468977815,-0.017620407044887543,0.001204747473821044,0.020048364996910095,1.0,0.0,0.0,0.03766877204179764
AAPL,2011-07-05,Chronos-2,10,9,0.02404315862851325,-0.017519164830446243,0.0013937962939962745,0.020172569900751114,0.0,0.0,1.0,0.03769173473119736
AAPL,2011-07-05,Chronos-2,10,10,0.008126190528291666,-0.017548207193613052,0.001421638298779726,0.02035081386566162,1.0,0.0,0.0,0.03789902105927467
AAPL,2011-07-05,Chronos-2,20,1,0.006645443727850697,-0.01901313289999962,0.0015604498330503702,0.02199675142765045,1.0,0.0,0.0,0.04100988432765007
AAPL,2011-07-05,Chronos-2,20,2,0.015347072903914238,-0.019348297268152237,0.0014740381157025695,0.022051945328712463,1.0,0.0,0.0,0.0414002425968647
AAPL,2011-07-05,Chronos-2,20,3,0.007002041185355523,-0.01927357167005539,0.0014534126967191696,0.021827246993780136,1.0,0.0,0.0,0.041100818663835526
AAPL,2011-07-05,Chronos-2,20,4,-0.016001509411843973,-0.01875355839729309,0.001424860442057252,0.021628305315971375,1.0,0.0,0.0,0.040381863713264465
AAPL,2011-07-05,Chronos-2,20,5,-0.0007058667785329042,-0.01803392544388771,0.0015889893984422088,0.021226614713668823,1.0,0.0,0.0,0.039260540157556534
AAPL,2011-07-05,Chronos-2,20,6,0.011998134335696964,-0.0178372785449028,0.0015968761872500181,0.020548328757286072,1.0,0.0,0.0,0.03838560730218887
AAPL,2011-07-05,Chronos-2,20,7,-0.0006983836209419891,-0.01791759580373764,0.0014150816714391112,0.02040371671319008,1.0,0.0,0.0,0.03832131251692772
AAPL,2011-07-05,Chronos-2,20,8,0.01978747468977815,-0.01786985620856285,0.001242808997631073,0.02023904398083687,1.0,0.0,0.0,0.03810890018939972
AAPL,2011-07-05,Chronos-2,20,9,0.02404315862851325,-0.017710242420434952,0.001452335505746305,0.020370420068502426,0.0,0.0,1.0,0.03808066248893738
AAPL,2011-07-05,Chronos-2,20,10,0.008126190528291666,-0.0176662877202034,0.001489889109507203,0.020418334752321243,1.0,0.0,0.0,0.03808462247252464
AAPL,2011-07-05,Chronos-2,20,11,0.02631883678608471,-0.018323231488466263,0.0013842174084857106,0.021030999720096588,0.0,0.0,1.0,0.03935423120856285
AAPL,2011-07-05,Chronos-2,20,12,0.0010075555983988238,-0.018863052129745483,0.0014277114532887936,0.0212961807847023,1.0,0.0,0.0,0.040159232914447784
AAPL,2011-07-05,Chronos-2,20,13,0.015398853080780484,-0.0187310092151165,0.001429053139872849,0.0215064138174057,1.0,0.0,0.0,0.0402374230325222
AAPL,2011-07-05,Chronos-2,20,14,0.013134971677819518,-0.019328687340021133,0.001170352566987276,0.02215290442109108,1.0,0.0,0.0,0.04148159176111221
AAPL,2011-07-05,Chronos-2,20,15,0.012245917632259129,-0.019413720816373825,0.001248248154297471,0.022286776453256607,1.0,0.0,0.0,0.04170049726963043
