ticker,cutoff_date,model,actual_return,threshold,actual_spike,warning,q10,q90
AAPL,2011-03-11,Chronos-2,0.0044502413825216495,0.02885882011001267,False,False,-0.014817610383033752,0.01789504662156105
AAPL,2011-07-05,Chronos-2,0.006645443727850954,0.032177449317118245,False,False,-0.018653132021427155,0.02183999866247177
AAPL,2011-10-25,Chronos-2,0.007089639963324946,0.049160836161456604,False,False,-0.02730315364897251,0.02887350134551525
AAPL,2012-02-17,Chronos-2,0.025036972759730772,0.035584133733980505,False,False,-0.012480637989938259,0.01798306033015251
AAPL,2012-06-12,Chronos-2,-0.006967055531725894,0.03929342052266589,False,False,-0.018775828182697296,0.02099737897515297
AAPL,2012-10-03,Chronos-2,-0.006949313461034188,0.02930300755163749,False,False,-0.018356576561927795,0.021732626482844353
AAPL,2013-01-30,Chronos-2,-0.0029372222698239234,0.06900682738796965,False,False,-0.024522142484784126,0.025315318256616592
AAPL,2013-05-23,Chronos-2,0.006784685215479068,0.03436672094761819,False,False,-0.01640128530561924,0.021293239668011665
AAPL,2013-09-16,Chronos-2,0.011486485063267946,0.036533530044340075,False,False,-0.02617899514734745,0.022315697744488716
AAPL,2014-01-08,Chronos-2,-0.012852087608966464,0.025244626316059476,False,False,-0.01587303914129734,0.017954146489501
AAPL,2014-05-02,Chronos-2,0.014042189814749726,0.04384350883042597,False,False,-0.014743608422577381,0.01609145849943161
AAPL,2014-08-25,Chronos-2,-0.006421884446149109,0.018046368175844228,False,False,-0.008141464553773403,0.011465485207736492
AAPL,2014-12-16,Chronos-2,0.024612692981759606,0.028236830508079586,False,False,-0.01492318231612444,0.016743533313274384
AAPL,2015-04-13,Chronos-2,-0.004345546377145041,0.025301045108785017,False,False,-0.016535012051463127,0.019329573959112167
AAPL,2015-08-04,Chronos-2,0.006607322554794695,0.03630499270474385,False,False,-0.01667345128953457,0.017887862399220467
AAPL,2015-11-24,Chronos-2,-0.00717587330635183,0.03492737916885329,False,False,-0.019181789830327034,0.02110658586025238
AAPL,2016-03-21,Chronos-2,0.00761875631624091,0.025676942299089334,False,False,-0.020187709480524063,0.021528687328100204
AAPL,2016-07-13,Chronos-2,0.01962658372589728,0.02276684138375036,False,False,-0.012777073308825493,0.013215580955147743
AAPL,2016-11-02,Chronos-2,-0.01077664088712817,0.01825842281181891,False,False,-0.015077533200383186,0.01520311739295721
AAPL,2017-02-28,Chronos-2,0.020232968695445108,0.027389205272767014,False,False,-0.005169658921658993,0.008899188600480556
AAPL,2017-06-21,Chronos-2,-0.00164641020601484,0.02793663806100878,False,False,-0.014133412390947342,0.015550668351352215
AAPL,2017-10-12,Chronos-2,0.006326314905951087,0.01821537406870928,False,False,-0.010336168110370636,0.012506277300417423
AAPL,2018-02-06,Chronos-2,-0.021639620925453212,0.03441424703035487,False,False,-0.019987156614661217,0.022470401600003242
AAPL,2018-05-31,Chronos-2,0.01787337241776974,0.02081419383406024,False,False,-0.007540736347436905,0.009694884531199932
AAPL,2018-09-21,Chronos-2,0.014277957583209747,0.0273090721707684,False,False,-0.019673243165016174,0.022382419556379318
AAPL,2019-01-17,Chronos-2,0.006140199346842176,0.06819397608010681,False,False,-0.02052900195121765,0.02284744568169117
AAPL,2019-05-13,Chronos-2,0.015706111059241534,0.04147145332141114,False,False,-0.024743597954511642,0.02507173642516136
AAPL,2019-09-04,Chronos-2,0.019362791548437282,0.04006074807744136,False,False,-0.015138192102313042,0.017270656302571297
AAPL,2019-12-26,Chronos-2,-0.0003796856312069616,0.022124974430602365,False,False,-0.01398995891213417,0.01779618114233017
AAPL,2020-04-21,Chronos-2,0.02839660991249939,0.07929357388154565,False,False,-0.04930277168750763,0.0481310673058033
AAPL,2020-08-12,Chronos-2,0.0175426559658522,0.06254374021310118,False,False,-0.02161702699959278,0.027538008987903595
AAPL,2020-12-03,Chronos-2,-0.005628064229194861,0.03325324391036956,False,False,-0.0172833651304245,0.024254191666841507
AAPL,2021-03-30,Chronos-2,0.018591975034542484,0.041323913460440474,False,False,-0.024345016106963158,0.028336048126220703
AAPL,2021-07-22,Chronos-2,0.011917983742510418,0.026934522770551778,False,False,-0.020760171115398407,0.025996726006269455
AAPL,2021-11-11,Chronos-2,0.014235196079960127,0.020571554189529776,False,False,-0.009947952814400196,0.013791280798614025
AAPL,2022-03-08,Chronos-2,0.03439875595462113,0.03289848603709963,True,False,-0.022539617493748665,0.023054227232933044
AAPL,2022-06-30,Chronos-2,0.016035169836734538,0.049775836015079226,False,False,-0.03164904564619064,0.03240594267845154
AAPL,2022-10-21,Chronos-2,0.014694080989188452,0.04699504326924561,False,False,-0.02242339961230755,0.02435910329222679
AAPL,2023-02-15,Chronos-2,-0.010484095724303154,0.031007762469612756,False,False,-0.024164728820323944,0.026518359780311584
AAPL,2023-06-09,Chronos-2,0.015517778735450129,0.01723665275684881,False,False,-0.0093399528414011,0.013593943789601326
AAPL,2023-10-03,Chronos-2,0.007281968363713714,0.02932136906241544,False,False,-0.020397529006004333,0.018370896577835083
