ticker,cutoff_date,horizon,model,model_type,actual,last_price,prediction,price_mae,return_abs_error,direction_hit
AAPL,2011-03-11,1,Chronos-2,chronos_pretrained,10.574847221374512,10.527891159057615,10.551164294775234,0.023682926599278176,0.0022495413603229597,1.0
AAPL,2011-03-11,5,Chronos-2,chronos_pretrained,9.890216827392578,10.527891159057615,10.645734325917381,0.755517498524803,0.07176342223815624,0.0
AAPL,2011-03-11,10,Chronos-2,chronos_pretrained,10.514430046081545,10.527891159057615,10.76163883014134,0.2472087840597954,0.023481320268695094,0.0
AAPL,2011-03-11,20,Chronos-2,chronos_pretrained,10.021523475646973,10.527891159057615,10.981728460072093,0.9602049844251201,0.09120582364674368,0.0
AAPL,2011-07-05,1,Chronos-2,chronos_pretrained,10.521010398864746,10.45132541656494,10.471802904980418,0.0492074938843281,0.004708253922161454,1.0
AAPL,2011-07-05,5,Chronos-2,chronos_pretrained,10.58053493499756,10.45132541656494,10.532075981907406,0.048458953090154466,0.00463663230821898,1.0
AAPL,2011-07-05,10,Chronos-2,chronos_pretrained,11.271445274353027,10.45132541656494,10.587474967084466,0.6839703072685612,0.06544340358826584,1.0
AAPL,2011-07-05,20,Chronos-2,chronos_pretrained,11.63215160369873,10.45132541656494,10.682508672342525,0.9496429313562054,0.09086339708177671,1.0
AAPL,2011-10-25,1,Chronos-2,chronos_pretrained,11.98179817199707,11.897151947021484,11.909216638471838,0.07258153352523244,0.006100748637021702,1.0
AAPL,2011-10-25,5,Chronos-2,chronos_pretrained,11.859468460083008,11.897151947021484,11.971364655182482,0.11189619509947413,0.00940529259420686,0.0
AAPL,2011-10-25,10,Chronos-2,chronos_pretrained,12.150190353393556,11.897151947021484,12.05882468195064,0.09136567144291696,0.0076796254977471445,1.0
AAPL,2011-10-25,20,Chronos-2,chronos_pretrained,11.261275291442873,11.897151947021484,12.220676238169219,0.9594009467263458,0.08064122833755494,0.0
AAPL,2012-02-17,1,Chronos-2,chronos_pretrained,15.398975372314451,15.018218040466309,15.05073730453763,0.34823806777682087,0.023187708877211666,1.0
AAPL,2012-02-17,5,Chronos-2,chronos_pretrained,15.72528839111328,15.018218040466309,15.168739781877463,0.5565486092358167,0.037058232057638696,1.0
AAPL,2012-02-17,10,Chronos-2,chronos_pretrained,15.946621894836426,15.018218040466309,15.322347398996126,0.6242744958403001,0.04156781411471089,1.0
AAPL,2012-02-17,20,Chronos-2,chronos_pretrained,17.978675842285156,15.018218040466309,15.62575552069144,2.3529203215937162,0.15667107211080689,1.0
AAPL,2012-06-12,1,Chronos-2,chronos_pretrained,17.11309242248535,17.232736587524414,17.258054506070305,0.14496208358495366,0.008412017606646338,0.0
AAPL,2012-06-12,5,Chronos-2,chronos_pretrained,17.569217681884766,17.232736587524414,17.35856663740778,0.21065104447698602,0.012223888144932582,1.0
AAPL,2012-06-12,10,Chronos-2,chronos_pretrained,17.10921287536621,17.232736587524414,17.466893382678688,0.3576805073124767,0.020755873885487164,0.0
AAPL,2012-06-12,20,Chronos-2,chronos_pretrained,18.078277587890625,17.232736587524414,17.816620078170327,0.26165750972029755,0.015183746840865764,1.0
AAPL,2012-10-03,1,Chronos-2,chronos_pretrained,20.02937126159668,20.16904640197754,20.20571564572938,0.17634438413270104,0.008743317885143598,0.0
AAPL,2012-10-03,5,Chronos-2,chronos_pretrained,19.25168800354004,20.16904640197754,20.34129263087048,1.0896046273304414,0.05402360655105687,0.0
AAPL,2012-10-03,10,Chronos-2,chronos_pretrained,19.362823486328125,20.16904640197754,20.503305440595202,1.1404819542670772,0.056546151540176615,0.0
AAPL,2012-10-03,20,Chronos-2,chronos_pretrained,17.32594108581543,20.16904640197754,20.775772747792224,3.449831661976795,0.17104584883291984,0.0
AAPL,2013-01-30,1,Chronos-2,chronos_pretrained,13.744524002075195,13.784954071044922,13.777101019654689,0.03257701757949327,0.0023632300413624074,1.0
AAPL,2013-01-30,5,Chronos-2,chronos_pretrained,13.800649642944336,13.784954071044922,13.741250133773661,0.05939950917067449,0.004309010306783989,0.0
AAPL,2013-01-30,10,Chronos-2,chronos_pretrained,14.174271583557127,13.784954071044922,13.70665639419304,0.4676151893640874,0.033922143443793296,0.0
AAPL,2013-01-30,20,Chronos-2,chronos_pretrained,13.396982192993164,13.784954071044922,13.879319867794235,0.48233767480107126,0.03499015465087507,0.0
AAPL,2013-05-23,1,Chronos-2,chronos_pretrained,13.600221633911133,13.508260726928713,13.522454098782779,0.07776753512835377,0.005757035394891696,1.0
AAPL,2013-05-23,5,Chronos-2,chronos_pretrained,13.740154266357422,13.508260726928713,13.577067518247086,0.1630867481103362,0.012073112253839113,1.0
AAPL,2013-05-23,10,Chronos-2,chronos_pretrained,13.498183250427246,13.508260726928713,13.63901710151268,0.1408338510854339,0.010425757536992264,0.0
AAPL,2013-05-23,20,Chronos-2,chronos_pretrained,12.63325023651123,13.508260726928713,13.734708892846996,1.1014586563357653,0.0815396355313166,0.0
AAPL,2013-09-16,1,Chronos-2,chronos_pretrained,14.002789497375488,13.842866897583008,13.842494587872661,0.1602949095028272,0.011579603465725397,0.0
AAPL,2013-09-16,5,Chronos-2,chronos_pretrained,15.089012145996094,13.842866897583008,13.92102230630125,1.1679898396948438,0.08437485156335489,1.0
AAPL,2013-09-16,10,Chronos-2,chronos_pretrained,14.66183853149414,13.842866897583008,14.006053376720036,0.6557851547741045,0.047373507209594434,1.0
AAPL,2013-09-16,20,Chronos-2,chronos_pretrained,15.255081176757812,13.842866897583008,13.933534696924344,1.3215464798334686,0.09546768668737338,1.0
AAPL,2014-01-08,1,Chronos-2,chronos_pretrained,16.59632682800293,16.81100082397461,16.82267967352746,0.22635284552453072,0.013464566916308929,0.0
AAPL,2014-01-08,5,Chronos-2,chronos_pretrained,17.240978240966797,16.81100082397461,16.871496810604604,0.3694814303621925,0.02197855048792019,1.0
AAPL,2014-01-08,10,Chronos-2,chronos_pretrained,17.20447540283203,16.81100082397461,16.926699383221198,0.2777760196108332,0.01652346713437125,1.0
AAPL,2014-01-08,20,Chronos-2,chronos_pretrained,15.948516845703123,16.81100082397461,17.01475067501814,1.0662338293150153,0.0634247681312603,0.0
AAPL,2014-05-02,1,Chronos-2,chronos_pretrained,18.7009391784668,18.44017219543457,18.46048382228418,0.24045535618262193,0.01303975655076317,1.0
AAPL,2014-05-02,5,Chronos-2,chronos_pretrained,18.32286834716797,18.44017219543457,18.53899391618863,0.2161255690206616,0.011720366096915957,0.0
AAPL,2014-05-02,10,Chronos-2,chronos_pretrained,18.69743156433105,18.44017219543457,18.62908727030571,0.0683442940253407,0.0037062720077127853,1.0
AAPL,2014-05-02,20,Chronos-2,chronos_pretrained,19.671876907348636,18.44017219543457,18.818912945080005,0.8529639622686318,0.046255748223425375,1.0
AAPL,2014-08-25,1,Chronos-2,chronos_pretrained,22.20945167541504,22.352537155151367,22.394818871372895,0.18536719595785556,0.008292892868098312,0.0
AAPL,2014-08-25,5,Chronos-2,chronos_pretrained,22.739978790283203,22.352537155151367,22.558290220207713,0.18168857007549022,0.008128319788235805,1.0
AAPL,2014-08-25,10,Chronos-2,chronos_pretrained,21.57106208801269,22.352537155151367,22.755861021389133,1.1847989333764417,0.0530051208573159,0.0
AAPL,2014-08-25,20,Chronos-2,chronos_pretrained,22.594688415527344,22.352537155151367,23.15476407141154,0.5600756558841979,0.02505646907090009,1.0
AAPL,2014-12-16,1,Chronos-2,chronos_pretrained,24.18944931030273,23.601348876953125,23.587108253937103,0.6023410563656277,0.025521467417221166,0.0
AAPL,2014-12-16,5,Chronos-2,chronos_pretrained,24.881458282470703,23.601348876953125,23.605205896163984,1.2762523863067194,0.05407540022227231,1.0
AAPL,2014-12-16,10,Chronos-2,chronos_pretrained,24.403905868530277,23.601348876953125,23.704461672541292,0.6994441959889848,0.02963577207538326,1.0
