ticker,experiment,horizon,ml_mae,chronos_mae,ml_direction,chronos_direction,p10_breach_rate,p90_breach_rate,chronos_mae_improvement_pct
AAPL,Experiment 1 — Univariate Close,1,1.1105712798086091,1.1303329467773446,0.48,0.5,0.06,0.14,-1.7794145524942018
AAPL,Experiment 1 — Univariate Close,5,3.5326135994949754,3.085865898132324,0.58,0.42,0.08,0.24,12.646378914085554
AAPL,Experiment 1 — Univariate Close,10,3.800028226193257,3.6634497261047367,0.62,0.56,0.02,0.22,3.5941443578523176
AAPL,Experiment 1 — Univariate Close,20,7.584682371210465,6.3519170951843265,0.48,0.62,0.06,0.24,16.25335400603463
AMZN,Experiment 1 — Univariate Close,1,1.4409696173499194,1.319822196960448,0.48,0.38,0.02,0.12,8.40735425166514
AMZN,Experiment 1 — Univariate Close,5,3.472490377907336,3.2202827644348133,0.62,0.52,0.06,0.16,7.2630183535458315
AMZN,Experiment 1 — Univariate Close,10,5.419068419877238,4.992791557312011,0.54,0.48,0.06,0.16,7.866238798566114
AMZN,Experiment 1 — Univariate Close,20,8.078667285199804,6.273721637725831,0.68,0.56,0.12,0.14,22.342121339501762
CVNA,Experiment 1 — Univariate Close,1,1.4367182848039641,1.3442736077308655,0.38,0.48,0.14,0.12,6.434433114054261
CVNA,Experiment 1 — Univariate Close,5,2.650157031418608,2.600133076906204,0.58,0.44,0.16,0.12,1.8875845438346077
CVNA,Experiment 1 — Univariate Close,10,4.520242053485656,3.3971290230751037,0.38,0.38,0.18,0.14,24.846302855496333
CVNA,Experiment 1 — Univariate Close,20,7.261916093026109,4.973008148670196,0.42,0.46,0.16,0.12,31.51933890497629
ENPH,Experiment 1 — Univariate Close,1,2.6634055968086003,2.566494959592819,0.5,0.58,0.04,0.2,3.6385985421035203
ENPH,Experiment 1 — Univariate Close,5,6.98903874564739,5.19540186882019,0.46,0.66,0.04,0.16,25.663570372166483
ENPH,Experiment 1 — Univariate Close,10,9.692819430155025,7.706483891010285,0.54,0.62,0.08,0.26,20.492856113311202
ENPH,Experiment 1 — Univariate Close,20,15.492855347754675,12.661301602125167,0.48,0.56,0.12,0.18,18.27651315443202
IONQ,Experiment 1 — Univariate Close,1,1.766403968640491,1.3757735395431516,0.4,0.48,0.12,0.16,22.11444471549661
IONQ,Experiment 1 — Univariate Close,5,3.5145774524285383,2.7606229686737063,0.5,0.56,0.06,0.1,21.452208521791345
IONQ,Experiment 1 — Univariate Close,10,4.6371054815048725,3.8431026935577393,0.58,0.46,0.1,0.18,17.122810579013542
IONQ,Experiment 1 — Univariate Close,20,8.576444903920356,5.918384084701538,0.56,0.42,0.06,0.16,30.992571502485827
MSFT,Experiment 1 — Univariate Close,1,2.3937850394263656,2.146640205383299,0.5,0.5,0.06,0.14,10.324437239456188
MSFT,Experiment 1 — Univariate Close,5,4.556370676336346,4.382616119384766,0.56,0.44,0.04,0.14,3.8134420856929028
MSFT,Experiment 1 — Univariate Close,10,6.070255917218873,5.983385086059568,0.66,0.66,0.06,0.1,1.4310900947831142
MSFT,Experiment 1 — Univariate Close,20,9.63262441589336,6.6855315780639675,0.56,0.72,0.04,0.1,30.5949106970976
NVDA,Experiment 1 — Univariate Close,1,0.8357193435653708,0.865699421763419,0.5,0.5,0.06,0.22,-3.5873380733472375
NVDA,Experiment 1 — Univariate Close,5,2.056016138070359,2.238824067711829,0.48,0.46,0.04,0.26,-8.891366475996701
NVDA,Experiment 1 — Univariate Close,10,2.5523248938224543,2.494609379172324,0.54,0.58,0.04,0.2,2.2612918437547984
NVDA,Experiment 1 — Univariate Close,20,4.131072562797525,3.977415638566017,0.52,0.62,0.02,0.16,3.7195406736562497
PLUG,Experiment 1 — Univariate Close,1,0.3374894179856886,0.26569964945316316,0.38,0.52,0.1,0.12,21.271709483812533
PLUG,Experiment 1 — Univariate Close,5,0.6876742572275151,0.6449175322055817,0.46,0.48,0.12,0.16,6.217584062883926
PLUG,Experiment 1 — Univariate Close,10,0.9420182056865057,0.8658029103279112,0.54,0.44,0.08,0.14,8.090639320824145
PLUG,Experiment 1 — Univariate Close,20,1.6648103598696156,1.3209688958525658,0.5,0.58,0.14,0.18,20.653491370871734
RKLB,Experiment 1 — Univariate Close,1,1.7778545374735346,1.5924836206436155,0.42,0.48,0.04,0.14,10.426663876187822
RKLB,Experiment 1 — Univariate Close,5,3.312405678504517,2.3992979240417487,0.48,0.42,0.1,0.08,27.566302050146756
RKLB,Experiment 1 — Univariate Close,10,4.938910350237682,4.348039011955262,0.48,0.4,0.08,0.08,11.963597157700692
RKLB,Experiment 1 — Univariate Close,20,7.841517227609782,6.877423806190491,0.62,0.36,0.12,0.22,12.294730642492798
SMCI,Experiment 1 — Univariate Close,1,0.3099976031305017,0.4080560350418092,0.52,0.22,0.08,0.2,-31.631996802900197
SMCI,Experiment 1 — Univariate Close,5,1.0116310643696211,1.0470318925380704,0.62,0.46,0.1,0.18,-3.4993812878323
SMCI,Experiment 1 — Univariate Close,10,1.653246761693075,1.8202210140228272,0.44,0.4,0.16,0.18,-10.099777976202134
SMCI,Experiment 1 — Univariate Close,20,2.3977109547112825,1.8605818772315978,0.54,0.54,0.08,0.2,22.40174431468794
AAPL,Experiment 2 — OHLCV,1,1.1105712798086091,1.0846984291076647,0.48,0.52,0.02,0.22,2.3296884379544984
AAPL,Experiment 2 — OHLCV,5,3.5326135994949754,3.019513053894043,0.58,0.42,0.06,0.24,14.524672205142553
