ticker,experiment,cutoff_date,horizon,last_price,actual_final,ml_final,chronos_p10,chronos_p50,chronos_p90,ml_mae,chronos_mae,ml_direction,chronos_direction,actual_return,ml_return,chronos_p10_return,chronos_p50_return,chronos_p90_return,chronos_p10_breach,chronos_p90_breach
AAPL,Experiment 2 — OHLCV,2011-03-11,1,10.527891159057615,10.574847221374512,10.511784381412598,10.34016227722168,10.550385475158691,10.698034286499023,0.06306283996191375,0.024461746215820312,0.0,1.0,0.004460158412304516,-0.001529914909042307,-0.017831575098914643,0.0021366402597848833,0.01616117842318565,False,False
AAPL,Experiment 2 — OHLCV,2011-03-11,5,10.527891159057615,9.890216827392578,10.72758813112017,10.197744369506836,10.570249557495117,10.908917427062988,0.8373713037275916,0.6800327301025391,0.0,0.0,-0.06056999659579665,0.0189683735370636,-0.031359251778238506,0.004023445702234341,0.03619207894997656,True,False
AAPL,Experiment 2 — OHLCV,2011-03-11,10,10.527891159057615,10.514430046081545,10.976696120465219,10.097501754760742,10.615679740905762,11.089787483215332,0.46226607438367395,0.10124969482421697,0.0,0.0,-0.0012786143751580825,0.042630091309547424,-0.040880875171908526,0.00833866730970323,0.05337216311115567,False,False
AAPL,Experiment 2 — OHLCV,2011-03-11,20,10.527891159057615,10.021523475646973,11.105358509486647,9.843735694885254,10.641206741333008,11.374650955200195,1.0838350338396747,0.6196832656860352,0.0,0.0,-0.04809773161218445,0.054851189255714417,-0.06498504342759581,0.010763369469098505,0.08043014344939103,False,False
AAPL,Experiment 2 — OHLCV,2011-07-05,1,10.45132541656494,10.521010398864746,10.495959471456374,10.184326171875,10.403998374938965,10.583075523376465,0.02505092740837256,0.11701202392578125,1.0,0.0,0.006667573682985539,0.004270659759640694,-0.025546926733977293,-0.004528329158229427,0.012606066844182973,False,False
AAPL,Experiment 2 — OHLCV,2011-07-05,5,10.45132541656494,10.58053493499756,10.491440892282395,9.960607528686523,10.341157913208008,10.715958595275879,0.08909404271516586,0.23937702178955256,1.0,0.0,0.012362979170835953,0.003838314674794674,-0.04695269435402405,-0.010541007859378393,0.02532053765080411,False,False
AAPL,Experiment 2 — OHLCV,2011-07-05,10,10.45132541656494,11.271445274353027,10.25297923165729,9.814346313476562,10.331741333007812,10.816161155700684,1.0184660426957368,0.9397039413452148,0.0,0.0,0.07847041644002672,-0.018978089094161987,-0.06094720790903618,-0.011442001735740726,0.03490808338600715,False,True
AAPL,Experiment 2 — OHLCV,2011-07-05,20,10.45132541656494,11.63215160369873,10.35678585657313,9.628168106079102,10.343086242675781,11.03841495513916,1.2753657471256012,1.2890653610229492,0.0,0.0,0.11298339110771805,-0.009045700542628654,-0.07876104490834879,-0.010356502125328904,0.05617369234754732,False,True
AAPL,Experiment 2 — OHLCV,2011-10-25,1,11.897151947021484,11.98179817199707,12.138258345248403,11.568561553955078,11.848061561584473,12.051142692565918,0.15646017325133244,0.13373661041259766,1.0,0.0,0.007114830957233975,0.020265892148017883,-0.027619248247785055,-0.004126230013335452,0.012943496580539726,False,False
AAPL,Experiment 2 — OHLCV,2011-10-25,5,11.897151947021484,11.859468460083008,12.447814280521882,11.336249351501465,11.938919067382812,12.546394348144531,0.5883458204388745,0.07945060729980469,0.0,0.0,-0.0031674376444280616,0.046285223215818405,-0.047145955436876164,0.003510682266421261,0.054571245623671105,False,False
