ticker,date,actual_return,rolling_vol,threshold,actual_spike,ml_return,ml_spike_warning,chronos_p10_return,chronos_p90_return,chronos_spike_warning
AAPL,2011-03-14,0.004460158412304516,0.014429410055006314,0.028858820110012628,False,-0.001529914909042307,False,-0.01507252184786434,0.020395778932964514,False
AAPL,2011-07-06,0.006667573682985539,0.016088724658559105,0.03217744931711821,False,0.004270659759640694,False,-0.0211397764159148,0.01758753916526601,False
AAPL,2011-10-26,0.007114830957233975,0.024580418080728295,0.04916083616145659,False,0.020265892148017883,False,-0.02563801656231457,0.012707185243399088,False
AAPL,2012-02-21,0.02535302995483213,0.017792066866990235,0.03558413373398047,False,0.008306704461574554,False,-0.0308255602088503,0.02619975446640188,False
AAPL,2012-06-13,-0.0069428418656197755,0.019646710261332915,0.03929342052266583,False,0.00016440817853435874,False,-0.02762405011578961,0.027500307971838556,False
AAPL,2012-10-04,-0.006925222819020527,0.0146515037758187,0.0293030075516374,False,0.010928845033049583,False,-0.027454352208907795,0.023995712660088486,False
AAPL,2013-01-31,-0.0029329128527638693,0.03450341369398481,0.06900682738796962,False,0.01616583950817585,False,-0.03611404059559842,0.01826909852467451,False
AAPL,2013-05-24,0.0068077533326771356,0.017183360473809067,0.03436672094761813,False,0.0005324705853126943,False,-0.02233678455862509,0.022101759349717698,False
AAPL,2013-09-17,0.01155270804636599,0.018266765022170003,0.036533530044340005,False,0.003548322943970561,False,-0.023303551880230033,0.03055348915330569,False
AAPL,2014-01-09,-0.012769852206867327,0.012622313158029698,0.025244626316059397,False,0.003534565446898341,False,-0.011667377294213188,0.0226786248755646,False
AAPL,2014-05-05,0.01414124446716336,0.02192175441521296,0.04384350883042592,False,0.002790542086586356,False,-0.012919373588701877,0.01726651565929993,False
AAPL,2014-08-26,-0.0064013082158485,0.009023184087922057,0.018046368175844114,False,0.005126125644892454,False,-0.020018914313619685,0.021077351316864057,True
AAPL,2014-12-17,0.024918085674496826,0.014118415254039757,0.028236830508079513,False,-0.0018389049218967557,False,-0.02025779414483897,0.014763004464880325,False
AAPL,2015-04-14,-0.0043361181523605685,0.012650522554392474,0.025301045108784948,False,0.0007371914689429104,False,-0.02163276468397768,0.016744817593981054,False
AAPL,2015-08-05,0.006629199065646407,0.018152496352371896,0.03630499270474379,False,-0.0005395433399826288,False,-0.0315444744693838,0.012328090302636374,False
AAPL,2015-11-25,-0.007150188201904051,0.017463689584426623,0.034927379168853245,False,0.0010491206776350737,False,-0.015777250459801717,0.013024719124213213,False
AAPL,2016-03-22,0.007647852886431661,0.012838471149544638,0.025676942299089275,False,-0.00464621651917696,False,-0.016067286001992476,0.017472078211437925,False
AAPL,2016-07-14,0.019820451362967173,0.011383420691875137,0.022766841383750274,False,-0.002736511407420039,False,-0.015437865568961429,0.016074906058385796,False
AAPL,2016-11-03,-0.01071878092459111,0.009129211405909391,0.018258422811818782,False,-0.016271252185106277,False,-0.011939919218615036,0.01722307262252487,False
AAPL,2017-03-01,0.02043904268959773,0.013694602636383462,0.027389205272766923,False,0.0012936878483742476,False,-0.011155795139144442,0.008918243105505042,False
AAPL,2017-06-22,-0.0016450556162370678,0.013968319030504344,0.027936638061008687,False,-0.00633738748729229,False,-0.013090387356334054,0.019202318375458605,False
AAPL,2017-10-13,0.0063463683018247785,0.009107687034354573,0.018215374068709145,False,-0.002642673207446933,False,-0.0163505303543503,0.009862519871147724,False
AAPL,2018-02-07,-0.021407164107031362,0.0172071235151774,0.0344142470303548,False,0.00249319220893085,False,-0.01759483608031409,0.013148539332259013,False
AAPL,2018-06-01,0.018034057036322437,0.010407096917030045,0.02081419383406009,False,-0.005491851828992478,False,-0.012251081218769277,0.001601612885743009,False
AAPL,2018-09-24,0.014380374473740964,0.013654536085384139,0.027309072170768278,False,0.007249518297612667,False,-0.020643365184786933,0.020497734941532286,False
AAPL,2019-01-18,0.006159089013166419,0.034096988040053386,0.06819397608010677,False,0.002365575172007084,False,-0.035686188757040216,0.024183323958831382,False
AAPL,2019-05-14,0.0158301003006458,0.020735726660705535,0.04147145332141107,False,0.014985276386141777,False,-0.028468449204846702,0.03470498945565237,False
AAPL,2019-09-05,0.01955146618513659,0.020030374038720655,0.04006074807744131,False,-0.0007344241603277624,False,-0.020485195854434868,0.018663951725780725,False
AAPL,2019-12-27,-0.00037961355973947786,0.011062487215301129,0.022124974430602257,False,-0.005176203791052103,False,-0.034007731605010694,0.029930194195685766,True
AAPL,2020-04-22,0.028803637237555968,0.03964678694077279,0.07929357388154558,False,0.0015668217092752457,False,-0.03732443479622982,0.03278643310580165,False
AAPL,2020-08-13,0.017697432091819953,0.03127187010655054,0.06254374021310108,False,-0.009469956159591675,False,-0.03404351688013829,0.02435775824446207,False
AAPL,2020-12-04,-0.005612256345542632,0.016626621955184686,0.03325324391036937,False,8.879926463123411e-05,False,-0.03793796051923792,0.030069704459051216,True
AAPL,2021-03-31,0.018765881887806923,0.02066195673022016,0.04132391346044032,False,-0.004296489059925079,False,-0.03234687368267908,0.015563963721280327,False
AAPL,2021-07-23,0.011989285888479362,0.013467261385275773,0.026934522770551545,False,0.002885142108425498,False,-0.0243774106297332,0.021307301333799433,False
AAPL,2021-11-12,0.014336998971469006,0.01028577709476474,0.02057155418952948,False,0.010598350316286087,False,-0.01388485101513559,0.016080937864729083,False
AAPL,2022-03-09,0.03499723576428515,0.01644924301854973,0.03289848603709946,True,-0.00014606106560688392,False,-0.018552832675198472,0.020026265937213683,False
AAPL,2022-07-01,0.016164423114502835,0.024887918007539575,0.04977583601507915,False,-0.007718472741544136,False,-0.024863531280725937,0.022825972144850715,False
AAPL,2022-10-24,0.014802569726696024,0.023497521634622758,0.046995043269245515,False,0.002358220284804702,False,-0.02631058554494925,0.02032190880461826,False
AAPL,2023-02-16,-0.010429329152483402,0.01550388123480631,0.03100776246961262,False,0.0032498508226126432,False,-0.022656098998608654,0.01953463817171408,False
AAPL,2023-06-12,0.015638804671419537,0.008618326378424288,0.017236652756848575,False,0.00035050709266215563,False,-0.020490261486256767,0.019349603041618924,True
AAPL,2023-10-04,0.007308546369570346,0.014660684531207653,0.029321369062415305,False,-0.0014960000989958644,False,-0.02123176989843767,0.015436638841928252,False
AAPL,2024-01-29,-0.0035858916774162974,0.014423460822098296,0.028846921644196593,False,-0.0013204189017416157,False,-0.014364435916965235,0.01084974034291486,False
AAPL,2024-05-21,0.006857242566348232,0.016243515064958816,0.03248703012991763,False,-0.0024644280783833183,False,-0.017021833482263604,0.014495421543588405,False
AAPL,2024-09-13,-0.0012119483310931711,0.00958118943528032,0.01916237887056064,False,-0.0023380015045404434,False,-0.02332767430520355,0.016452300470910286,True
AAPL,2025-01-07,-0.011387749975879102,0.011963840510045861,0.023927681020091723,False,-0.007031918037682883,False,-0.018541353238182845,0.022515033588994315,False
AAPL,2025-05-02,-0.037361645758300144,0.0509837721103977,0.1019675442207954,False,-0.0068360562436282635,False,-0.022103860348822835,0.014563922572651489,False
AAPL,2025-08-26,0.009464706476046691,0.019522840872344193,0.039045681744688386,False,-0.0008808436687104404,False,-0.024617311586208834,0.015184022887243742,False
AAPL,2025-12-17,-0.010087037063657212,0.009265962576120106,0.01853192515224021,False,0.009703820571303368,False,-0.018873426801202076,0.012217192502824492,True
AAPL,2026-04-14,-0.0014275206833038734,0.012397908787328134,0.024795817574656268,False,-0.0013129207072779536,False,-0.0188728660907046,0.016158241428506637,False
