cutoff_date,horizon,last_price,actual_final,ml_pred,chronos_p10,chronos_p50,chronos_p90,ml_mae,chronos_mae,ml_direction,chronos_direction,actual_return,chronos_p10_return,chronos_p50_return,chronos_p90_return
2023-11-09,1,182.41,186.4,182.41566714851152,173.79739379882812,179.80152893066406,184.49664306640625,3.984332851488489,6.598471069335943,1.0,0.0,0.021873800778466235,-0.04721564717489102,-0.014300044237355092,0.011439301937428148
2023-11-09,5,182.41,192.32,184.02938604922966,167.45327758789062,179.40737915039062,190.84136962890625,8.290613950770336,12.912620849609368,1.0,0.0,0.054328161833232747,-0.08199507928353367,-0.016460834656046086,0.04622208008829709
2023-11-09,10,182.41,181.91,171.27234435480088,164.9197998046875,182.07025146484375,198.81837463378906,10.637655645199118,0.1602514648437534,1.0,1.0,-0.0027410777917877827,-0.09588399865858499,-0.0018625543290183844,0.08995326261602465
2023-11-09,20,182.41,187.15,207.43386554345489,156.90740966796875,182.55862426757812,209.2287139892578,20.28386554345488,4.591375732421881,1.0,1.0,0.025985417466147798,-0.1398091679843827,0.0008147813583583297,0.147024362640523
2023-12-07,1,194.27,194.71,194.13149942969324,186.33847045898438,193.15945434570312,197.81863403320312,0.5785005703067725,1.550545654296883,0.0,0.0,0.0022648890719101367,-0.04082735132040782,-0.005716506173350955,0.018266505550023737
2023-12-07,5,194.27,181.18,187.7200823005289,182.25936889648438,194.2498321533203,205.2762451171875,6.540082300528894,13.069832153320306,1.0,1.0,-0.06738044988932934,-0.06182442530249466,-0.00010381348988364181,0.05665437338337109
2023-12-07,10,194.27,185.85,189.48609987784178,179.52651977539062,196.21151733398438,213.0518035888672,3.6360998778417866,10.36151733398438,1.0,0.0,-0.04334174087610032,-0.07589169827873266,0.009993912256057946,0.09667886749815802
2023-12-07,20,194.27,173.23,216.7014912647754,170.92620849609375,196.99514770507812,224.464599609375,43.47149126477541,23.765147705078135,0.0,0.0,-0.10830287743861644,-0.12016158698670021,0.01402763012857422,0.1554259515590415
2024-01-10,1,186.19,185.59,188.08935863708146,181.1328582763672,187.78070068359375,192.92579650878906,2.499358637081457,2.1907006835937466,0.0,0.0,-0.0032225146355873147,-0.0271611886977432,0.00854342705619926,0.03617700471985108
2024-01-10,5,186.19,189.41,182.39907372038812,175.9871826171875,188.2073974609375,199.3096923828125,7.01092627961188,1.2026025390624966,0.0,1.0,0.01729416187765187,-0.05479788056722967,0.010835154739446295,0.07046400119669416
2024-01-10,10,186.19,170.12,185.33688210839406,173.37030029296875,190.5213623046875,207.0166015625,15.21688210839406,20.401362304687495,1.0,0.0,-0.08630968365647995,-0.06885278321623745,0.02326313069814434,0.11185671390783614
2024-01-10,20,186.19,176.55,197.60283492032437,162.1826629638672,189.54446411132812,218.74868774414062,21.052834920324358,12.994464111328114,0.0,0.0,-0.05177506847843594,-0.1289399916006918,0.01801634948884545,0.17486807961835016
2024-02-12,1,187.15,179.66,200.31569690182806,181.42315673828125,187.72262573242188,192.3187255859375,20.655696901828065,8.062625732421878,0.0,0.0,-0.04002137323002941,-0.030600284593741645,0.0030597153749498673,0.027618090226756653
2024-02-12,5,187.15,169.0,210.22318710424005,176.64178466796875,187.18783569335938,196.53472900390625,41.223187104240054,18.187835693359375,0.0,0.0,-0.0969810312583489,-0.056148625872461944,0.000202167744372872,0.05014549294098991
