date,actual_return,rolling_vol,threshold,actual_spike,ml_return,ml_spike_warning,chronos_p10_return,chronos_p50_return,chronos_p90_return,chronos_spike_warning
2018-08-30,0.009193649654677616,0.009471124015637175,0.01894224803127435,False,0.0012362829875200987,False,-0.020788528232983272,0.00022135577251880534,0.02263038410115259,True
2018-12-31,0.009665237150355388,0.027091156272209677,0.05418231254441935,False,-0.0027833764906972647,False,-0.03519105523632016,-0.004840979020314551,0.024400556865028733,False
2019-05-01,0.04908556336273495,0.009286390628806832,0.018572781257613663,True,0.013965785503387451,False,-0.018502250858062896,0.0032540890361041352,0.02077245938021699,True
2019-08-28,0.006710423197492155,0.024615449253264896,0.04923089850652979,False,0.004245798569172621,False,-0.024055594560868254,-0.0017210054547061038,0.019387858041027828,False
2019-12-26,0.019840292679494942,0.010794545326291411,0.021589090652582823,False,-0.0010683893924579024,False,-0.028558187933951373,-0.0005248933259972555,0.027698525568231824,True
2020-04-27,0.0007067887055165478,0.032493718678638324,0.06498743735727665,False,0.006619106512516737,False,-0.03716172844073584,-0.0008027038671282183,0.029398126450849382,False
2020-08-24,0.011960279810243613,0.028941131749249713,0.057882263498499426,False,0.007136303465813398,False,-0.043568255884658735,-0.0074049748819990935,0.03354500432178176,False
2020-12-21,0.012435355888042121,0.01785900898902491,0.03571801797804982,False,0.014915799722075462,False,-0.026599492639330258,0.006883763753065653,0.03598919158004277,True
2021-04-22,-0.01168539325842699,0.014087756446855773,0.028175512893711546,False,-0.001955888234078884,False,-0.032971557159995335,-0.0009218137362476675,0.025537612286399725,True
2021-08-19,0.0023230390817161606,0.010682505644141093,0.021365011288282186,False,-0.007562440354377031,False,-0.01358601042858798,0.006133232523294341,0.02181550615242367,True
2021-12-16,-0.0392638036809817,0.01899091237228264,0.03798182474456528,True,-0.00047213444486260414,False,-0.0271857326016105,0.003477369947800346,0.031688088088878574,False
2022-04-18,-0.0013309940105269424,0.017168138309668388,0.034336276619336775,False,-0.013840924948454014,False,-0.021407395152317488,0.0017823823906562009,0.019723945177793523,False
2022-08-16,-0.0009238408684103527,0.016233170755510652,0.032466341511021304,False,0.003780555911362171,False,-0.03088231595808788,-0.001005961153123014,0.02646082830701646,False
2022-12-13,0.006782476295937423,0.018314928911451943,0.036629857822903886,False,-0.007374695036560297,False,-0.025068032930479656,-0.002129581611670872,0.021298346399674983,False
2023-04-14,-0.0021140372070548308,0.01309808399060077,0.02619616798120154,False,0.007638674695044756,False,-0.028217069594057675,-0.0036543454199949865,0.018976053485377342,True
2023-08-14,0.00939310422408468,0.013726255646224638,0.027452511292449275,False,0.00909176841378212,False,-0.011967274555172103,0.005648863959938799,0.021538207740039228,False
2023-12-11,-0.012927290378621392,0.009112990616624392,0.018225981233248784,False,0.0002947541361209005,False,-0.01653888381366242,-0.0005990589202854446,0.01366768664913165,False
2024-04-11,0.04327095005364168,0.013471553054059398,0.026943106108118797,True,-0.008673337288200855,False,-0.01912123984440195,-0.004190035465434616,0.01174211200819153,False
2024-08-09,0.013735877361586546,0.017187425455295193,0.034374850910590386,False,-0.0031644999980925403,False,-0.021317250092295237,0.003493465097928139,0.025557011683040587,False
2024-12-06,-0.0008229098090848375,0.008801915781311818,0.017603831562623636,False,0.0038545196875929832,False,-0.02565160654656895,-0.0027852714493370456,0.020726849955897242,True
2025-04-09,0.15328848161466202,0.031542303769885184,0.06308460753977037,True,-0.05038924515247334,False,-0.09270949961621688,-0.04498795099040487,-0.005260142299916226,True
2025-08-08,0.04235786029177846,0.01602527670858002,0.03205055341716004,True,0.0032606294844299555,False,-0.01662586504982988,0.003265554231063561,0.02328665553507614,False
2025-12-05,-0.006840042750267283,0.010617249729826072,0.021234499459652143,False,-0.010794010013341904,False,-0.02342445365381185,-0.0008660164599660902,0.020111203575881698,True
2026-04-08,0.02130177514792897,0.013221839580522235,0.02644367916104447,False,-0.0005208805087022483,False,-0.02015803410456729,-0.00031209791435526935,0.014965892543454151,False
2026-08-07,0.0029448481162572815,0.023573902378869645,0.04714780475773929,False,0.008400114253163338,False,-0.017359675367755956,0.008935788350795004,0.030598374831951602,False
