horizon,ml_mae,chronos_mae,ml_direction,chronos_direction,chronos_mae_improvement_pct,chronos_direction_advantage_pp
1,3.6017902910141277,3.2736811523437495,0.52,0.48,9.109612502675583,-4.0000000000000036
5,6.667511830971142,5.22506165161133,0.6,0.52,21.634010046439087,-7.9999999999999964
10,8.123133857462927,6.6429490295410165,0.56,0.48,18.2218445971074,-8.000000000000007
20,14.672259210492113,10.42933612060547,0.48,0.6,28.91799435258433,12.0
