horizon,ml_mae,chronos_mae,ml_direction,chronos_direction,chronos_mae_improvement_pct,chronos_direction_advantage_pp
1,3.6017902910141277,3.42843196411133,0.52,0.56,4.813115503567713,4.0000000000000036
5,6.667511830971142,5.490694708251956,0.6,0.52,17.650019265849267,-7.9999999999999964
10,8.123133857462927,7.110482342529297,0.56,0.44,12.466266501361192,-12.000000000000005
20,14.672259210492113,10.833916394042967,0.48,0.52,26.160543931123787,4.0000000000000036
