experiment,horizon,stocks,avg_ml_mae,avg_chronos_mae,median_ml_mae,median_chronos_mae,avg_chronos_improvement,avg_ml_direction,avg_chronos_direction
Experiment 1 — Univariate Close,1,10,1.4072914688993046,1.3015276182889934,1.4388439510769417,1.3320479023456566,4.561889179403444,0.45600000000000007,0.46399999999999997
Experiment 1 — Univariate Close,5,10,3.178297502140521,2.7574994112849236,3.3924480282059264,2.680378022789955,9.41193411403184,0.534,0.48600000000000004
Experiment 1 — Univariate Close,10,10,4.422601973987463,3.9115014292597765,4.578673767495264,3.753276209831238,8.756919314510013,0.532,0.49800000000000005
Experiment 1 — Univariate Close,20,10,7.266230152199297,5.69002543643117,7.713099799410124,6.096052861213685,20.904831660623685,0.536,0.544
Experiment 2 — OHLCV,1,10,1.4072914688993046,1.3047597774267194,1.4388439510769417,1.2985951602458954,4.6196172196527465,0.45600000000000007,0.47000000000000003
Experiment 2 — OHLCV,5,10,3.178297502140521,2.740309753417969,3.3924480282059264,2.6135829263925556,10.421351346137683,0.534,0.496
Experiment 2 — OHLCV,10,10,4.422601973987463,3.9124959183931347,4.578673767495264,3.6736291122436526,9.043746327361497,0.532,0.5
Experiment 2 — OHLCV,20,10,7.266230152199297,5.663420861929655,7.713099799410124,5.921790990829468,21.01514227069952,0.536,0.536
