cutoff_date,horizon,last_price,actual_final,ml_pred,chronos_p10,chronos_p50,chronos_p90,ml_mae,chronos_mae,ml_direction,chronos_direction,actual_return,chronos_p10_return,chronos_p50_return,chronos_p90_return
2018-08-29,1,55.745,56.2575,55.813916595139304,54.50503921508789,55.703704833984375,56.86274719238281,0.44358340486069636,0.5537951660156253,1.0,0.0,0.009193649654677616,-0.02224344398443101,-0.0007407869049353977,0.020051075296130927
2018-08-29,5,55.745,55.775,55.393187420321624,53.72547149658203,55.681968688964844,57.3463020324707,0.3818125796783747,0.09303131103515483,0.0,0.0,0.0005381648578348663,-0.03622797566450742,-0.0011307078847457852,0.028725482688504833
2018-08-29,10,55.745,56.6025,56.113883580835534,53.380104064941406,55.90211868286133,58.3032112121582,0.4886164191644653,0.700381317138671,1.0,1.0,0.01538254551977758,-0.04242346282282883,0.002818525120841908,0.04589131244341571
2018-08-29,20,55.745,56.2375,57.855117703713475,52.658870697021484,56.09029769897461,59.562313079833984,1.6176177037134778,0.14720230102538778,1.0,1.0,0.008834873082787631,-0.05536154458657305,0.006194236235978368,0.0684781250306572
2018-12-28,1,39.0575,39.435,38.94878827271459,37.60323715209961,38.922325134277344,40.21755599975586,0.48621172728541495,0.5126748657226585,0.0,0.0,0.009665237150355388,-0.037233894844790116,-0.003460919560203668,0.029701235351875077
2018-12-28,5,39.0575,36.9825,36.71202832257375,36.18128204345703,38.867164611816406,41.60344696044922,0.2704716774262508,1.8846646118164045,1.0,1.0,-0.05312680023042937,-0.07364060568502762,-0.004873209708342596,0.06518458581448439
2018-12-28,10,39.0575,37.5,36.035928701180964,34.97324752807617,38.90846633911133,42.933387756347656,1.4640712988190359,1.4084663391113281,1.0,1.0,-0.03987710426934643,-0.10457024827302885,-0.003815750134767204,0.09923542869737334
2018-12-28,20,39.0575,38.67,34.2223728990741,32.20375442504883,38.670501708984375,44.95275115966797,4.447627100925899,0.0005017089843732947,1.0,1.0,-0.009921269922549936,-0.17547834794728723,-0.00990842452833951,0.15093774971946416
2019-04-30,1,50.1675,52.63,50.86812854424119,49.18234634399414,50.196781158447266,50.96338653564453,1.7618714557588149,2.433218841552737,1.0,1.0,0.04908556336273495,-0.01963728820463162,0.0005836678815422935,0.01586458435530047
2019-04-30,5,50.1675,50.715,50.834138385001566,48.54457473754883,50.388214111328125,52.214542388916016,0.1191383850015626,0.3267858886718784,1.0,1.0,0.010913439976080186,-0.03235013230579897,0.004399543754983304,0.04080415386287983
2019-04-30,10,50.1675,47.165,53.513281108215445,47.816898345947266,50.5770378112793,53.0640983581543,6.348281108215446,3.4120378112792977,0.0,0.0,-0.059849504161060385,-0.046855068601240446,0.00816340880608557,0.057738543043889035
2019-04-30,20,50.1675,44.345,55.98171414826065,46.40778350830078,50.84260559082031,54.974056243896484,11.636714148260651,6.497605590820314,0.0,0.0,-0.11606119499676082,-0.07494326987988664,0.013457030763349032,0.09581016083911864
