ticker,experiment,cutoff_date,horizon,model,actual,predicted,price_mae,return_abs_error,direction_hit
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,naive,10.574847221374512,10.527891159057615,0.04695606231689631,0.004460158412304516,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,arima,10.574847221374512,10.52828988610476,0.046557335269751476,0.004422285010963201,1.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,ets,10.574847221374512,10.532310003377285,0.04253721799722676,0.0040404310183841385,1.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,garch,10.574847221374512,10.552238466462953,0.022608754911559004,0.002147510319966406,1.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,egarch,10.574847221374512,10.549437119779173,0.025410101595339185,0.0024135984321493886,1.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,gjr_garch,10.574847221374512,10.550252771588644,0.024594449785867667,0.0023361231052154707,1.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,xgboost,10.574847221374512,10.511784381412598,0.06306283996191375,0.005990073321346823,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,lightgbm,10.574847221374512,10.54000346459245,0.03484375678206142,0.003309661569979694,1.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,naive,9.890216827392578,10.527891159057615,0.6376743316650373,0.06056999659579665,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,arima,9.890216827392578,10.528160332094352,0.6379435047017736,0.06059556420783485,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,ets,9.890216827392578,10.549765549496827,0.6595487221042493,0.06264775273030909,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,garch,9.890216827392578,10.65019206730806,0.759975239915482,0.07218684430087796,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,gjr_garch,9.890216827392578,10.640175200179982,0.749958372787404,0.07123538431931653,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,xgboost,9.890216827392578,10.72758813112017,0.8373713037275916,0.07953837013286025,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,lightgbm,9.890216827392578,10.705295437231728,0.8150786098391496,0.07742088111709822,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,naive,10.514430046081545,10.527891159057615,0.013461112976070666,0.0012786143751580825,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,arima,10.514430046081545,10.528143851430505,0.013713805348960051,0.0013026165584132388,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,ets,10.514430046081545,10.571098523745784,0.05666847766423899,0.0053826998026557105,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,garch,10.514430046081545,10.773913726583842,0.25948368050229753,0.02464726093592373,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,gjr_garch,10.514430046081545,10.75365679413608,0.23922674805453603,0.022723140317490675,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,xgboost,10.514430046081545,10.976696120465219,0.46226607438367395,0.04390870568470551,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,lightgbm,10.514430046081545,11.162028920430746,0.6475988743492014,0.06151268706763202,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,naive,10.021523475646973,10.527891159057615,0.5063676834106428,0.04809773161218445,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,arima,10.021523475646973,10.528144798699312,0.5066213230523395,0.048121823772510286,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,ets,10.021523475646973,10.612193488203609,0.590670012556636,0.056105254474297706,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,garch,10.021523475646973,11.025685508536561,1.0041620328895888,0.09538111837579777,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,gjr_garch,10.021523475646973,10.984263866232874,0.9627403905859016,0.09144665118974116,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,xgboost,10.021523475646973,11.105358509486647,1.0838350338396747,0.10294892086789886,0.0
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,lightgbm,10.021523475646973,11.334379832044148,1.312856356397175,0.12470269083924435,0.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,naive,10.521010398864746,10.45132541656494,0.06968498229980646,0.006667573682985539,0.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,arima,10.521010398864746,10.451999088374908,0.069011310489838,0.006603115656551806,1.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,ets,10.521010398864746,10.454155998842856,0.06685440002189047,0.00639673891657111,1.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,garch,10.521010398864746,10.469077167387635,0.051933231477111264,0.004969056976716013,1.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,egarch,10.521010398864746,10.465897019249072,0.05511337961567442,0.005273338779435699,1.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,gjr_garch,10.521010398864746,10.466625371689943,0.05438502717480276,0.005203648820330864,1.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,xgboost,10.521010398864746,10.495959471456374,0.02505092740837256,0.0023969139233448455,1.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,lightgbm,10.521010398864746,10.548370226467016,0.02735982760226996,0.002617833290206928,1.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,5,naive,10.58053493499756,10.45132541656494,0.12920951843262074,0.012362979170835953,0.0
AAPL,Experiment 1 — Univariate Close,2011-07-05,5,arima,10.58053493499756,10.451793388330163,0.12874154666739734,0.012318202862896976,1.0
