ticker,date,actual_return,rolling_vol,threshold,actual_spike,xgb_warning,chronos_warning
AAPL,2011-03-14,0.004460158412304516,0.014429410055006314,0.028858820110012628,False,False,False
AAPL,2011-07-06,0.006667573682985539,0.016088724658559105,0.03217744931711821,False,False,False
AAPL,2011-10-26,0.007114830957233975,0.024580418080728295,0.04916083616145659,False,False,False
AAPL,2012-02-21,0.02535302995483213,0.017792066866990235,0.03558413373398047,False,False,False
AAPL,2012-06-13,-0.0069428418656197755,0.019646710261332915,0.03929342052266583,False,False,False
AAPL,2012-10-04,-0.006925222819020527,0.0146515037758187,0.0293030075516374,False,False,False
AAPL,2013-01-31,-0.0029329128527638693,0.03450341369398481,0.06900682738796962,False,False,False
AAPL,2013-05-24,0.0068077533326771356,0.017183360473809067,0.03436672094761813,False,False,False
AAPL,2013-09-17,0.01155270804636599,0.018266765022170003,0.036533530044340005,False,False,False
AAPL,2014-01-09,-0.012769852206867327,0.012622313158029698,0.025244626316059397,False,False,False
AAPL,2014-05-05,0.01414124446716336,0.02192175441521296,0.04384350883042592,False,False,False
AAPL,2014-08-26,-0.0064013082158485,0.009023184087922057,0.018046368175844114,False,False,False
AAPL,2014-12-17,0.024918085674496826,0.014118415254039757,0.028236830508079513,False,False,False
AAPL,2015-04-14,-0.0043361181523605685,0.012650522554392474,0.025301045108784948,False,False,False
AAPL,2015-08-05,0.006629199065646407,0.018152496352371896,0.03630499270474379,False,False,False
AAPL,2015-11-25,-0.007150188201904051,0.017463689584426623,0.034927379168853245,False,False,False
AAPL,2016-03-22,0.007647852886431661,0.012838471149544638,0.025676942299089275,False,False,False
AAPL,2016-07-14,0.019820451362967173,0.011383420691875137,0.022766841383750274,False,False,False
AAPL,2016-11-03,-0.01071878092459111,0.009129211405909391,0.018258422811818782,False,False,False
AAPL,2017-03-01,0.02043904268959773,0.013694602636383462,0.027389205272766923,False,False,False
AAPL,2017-06-22,-0.0016450556162370678,0.013968319030504344,0.027936638061008687,False,False,False
AAPL,2017-10-13,0.0063463683018247785,0.009107687034354573,0.018215374068709145,False,False,False
AAPL,2018-02-07,-0.021407164107031362,0.0172071235151774,0.0344142470303548,False,False,False
AAPL,2018-06-01,0.018034057036322437,0.010407096917030045,0.02081419383406009,False,False,False
AAPL,2018-09-24,0.014380374473740964,0.013654536085384139,0.027309072170768278,False,False,False
AAPL,2019-01-18,0.006159089013166419,0.034096988040053386,0.06819397608010677,False,False,False
AAPL,2019-05-14,0.0158301003006458,0.020735726660705535,0.04147145332141107,False,False,False
AAPL,2019-09-05,0.01955146618513659,0.020030374038720655,0.04006074807744131,False,False,False
AAPL,2019-12-27,-0.00037961355973947786,0.011062487215301129,0.022124974430602257,False,False,False
AAPL,2020-04-22,0.028803637237555968,0.03964678694077279,0.07929357388154558,False,False,False
AAPL,2020-08-13,0.017697432091819953,0.03127187010655054,0.06254374021310108,False,False,False
AAPL,2020-12-04,-0.005612256345542632,0.016626621955184686,0.03325324391036937,False,False,False
AAPL,2021-03-31,0.018765881887806923,0.02066195673022016,0.04132391346044032,False,False,False
AAPL,2021-07-23,0.011989285888479362,0.013467261385275773,0.026934522770551545,False,False,False
AAPL,2021-11-12,0.014336998971469006,0.01028577709476474,0.02057155418952948,False,False,False
AAPL,2022-03-09,0.03499723576428515,0.01644924301854973,0.03289848603709946,True,False,False
AAPL,2022-07-01,0.016164423114502835,0.024887918007539575,0.04977583601507915,False,False,False
AAPL,2022-10-24,0.014802569726696024,0.023497521634622758,0.046995043269245515,False,False,False
AAPL,2023-02-16,-0.010429329152483402,0.01550388123480631,0.03100776246961262,False,False,False
AAPL,2023-06-12,0.015638804671419537,0.008618326378424288,0.017236652756848575,False,False,False
AAPL,2023-10-04,0.007308546369570346,0.014660684531207653,0.029321369062415305,False,False,False
AAPL,2024-01-29,-0.0035858916774162974,0.014423460822098296,0.028846921644196593,False,False,False
AAPL,2024-05-21,0.006857242566348232,0.016243515064958816,0.03248703012991763,False,False,False
AAPL,2024-09-13,-0.0012119483310931711,0.00958118943528032,0.01916237887056064,False,False,False
AAPL,2025-01-07,-0.011387749975879102,0.011963840510045861,0.023927681020091723,False,False,False
AAPL,2025-05-02,-0.037361645758300144,0.0509837721103977,0.1019675442207954,False,False,False
AAPL,2025-08-26,0.009464706476046691,0.019522840872344193,0.039045681744688386,False,False,False
AAPL,2025-12-17,-0.010087037063657212,0.009265962576120106,0.01853192515224021,False,False,False
AAPL,2026-04-14,-0.0014275206833038734,0.012397908787328134,0.024795817574656268,False,False,False
AAPL,2026-08-07,0.0029447910342257355,0.023573874499706788,0.047147748999413576,False,False,False
MSFT,2011-03-14,0.00038940062789150076,0.008496080012001904,0.01699216002400381,False,False,False
MSFT,2011-07-06,0.01152560222949428,0.013180950847206782,0.026361901694413565,False,False,False
MSFT,2011-10-26,-0.00820580042843444,0.014165765820491416,0.028331531640982833,False,False,False
MSFT,2012-02-21,0.006080178793221869,0.01161335738964305,0.0232267147792861,False,False,False
MSFT,2012-06-13,-0.005462963620600059,0.014642898644841425,0.02928579728968285,False,False,False
MSFT,2012-10-04,0.005693368507290408,0.010969386382690096,0.021938772765380192,False,False,False
MSFT,2013-01-31,-0.014363194400999535,0.011725488015420804,0.02345097603084161,False,False,False
MSFT,2013-05-24,0.0035135223938420612,0.012658216609883002,0.025316433219766003,False,False,False
MSFT,2013-09-17,0.0039636407930720985,0.024047671621770954,0.04809534324354191,False,False,False
MSFT,2014-01-09,-0.006432089867985047,0.010463380615658525,0.02092676123131705,False,False,False
MSFT,2014-05-05,-0.00655075242126979,0.013051164346355053,0.026102328692710106,False,False,False
MSFT,2014-08-26,-0.0035425357123077816,0.007878223531389745,0.01575644706277949,False,False,False
MSFT,2014-12-17,0.012842864143595367,0.01151828762240486,0.02303657524480972,False,False,False
MSFT,2015-04-14,-0.0026339204015698447,0.012563409677432904,0.02512681935486581,False,False,False
MSFT,2015-08-05,0.0008414803849277064,0.013126372233438112,0.026252744466876223,False,False,False
MSFT,2015-11-25,-0.010322592115779794,0.010283502640522389,0.020567005281044777,False,False,False
MSFT,2016-03-22,0.003898706215324399,0.01632417842882174,0.03264835685764348,False,False,False
MSFT,2016-07-14,0.004298124820355964,0.015931464241147872,0.031862928482295744,False,False,False
MSFT,2016-11-03,-0.00370172117854517,0.01218354054483233,0.02436708108966466,False,False,False
MSFT,2017-03-01,0.015004834110202703,0.006453179784341937,0.012906359568683873,True,False,False
MSFT,2017-06-22,-0.0001422962827062335,0.010477321505685698,0.020954643011371395,False,False,False
MSFT,2017-10-13,0.004798054494645765,0.007233560456889127,0.014467120913778254,False,False,False
MSFT,2018-02-07,-0.0188329633758042,0.018093177741308444,0.03618635548261689,False,False,False
MSFT,2018-06-01,0.01972889819126511,0.007162798327787298,0.014325596655574596,True,False,False
MSFT,2018-09-24,0.003588646248586569,0.011346226906505072,0.022692453813010143,False,False,False
MSFT,2019-01-18,0.014983216703295055,0.0261118208412804,0.0522236416825608,False,False,False
MSFT,2019-05-14,0.011187776142994155,0.014809898733406825,0.02961979746681365,False,False,False
MSFT,2019-09-05,0.017583106370801627,0.016373967879048438,0.032747935758096876,False,False,False
MSFT,2019-12-27,0.0018272287767484574,0.006456509857498368,0.012913019714996737,False,False,False
MSFT,2020-04-22,0.033964825292713385,0.039577132107771515,0.07915426421554303,False,False,False
MSFT,2020-08-13,-0.002342406358526783,0.02370537514377878,0.04741075028755756,False,False,False
MSFT,2020-12-04,0.0005600780015806439,0.015356151421092833,0.030712302842185665,False,False,False
MSFT,2021-03-31,0.016907346926239297,0.016450625799888784,0.03290125159977757,False,False,False
MSFT,2021-07-23,0.012336333261592669,0.009029098025768916,0.01805819605153783,False,False,False
MSFT,2021-11-12,0.012904933380037953,0.011902222479550934,0.02380444495910187,False,False,False
MSFT,2022-03-09,0.045858193526622015,0.021799381158708067,0.043598762317416134,True,False,False
MSFT,2022-07-01,0.01070740653859037,0.02328457176164729,0.04656914352329458,False,False,False
MSFT,2022-10-24,0.021187822286735214,0.02400224243226999,0.04800448486453998,False,False,False
MSFT,2023-02-16,-0.026622609529353358,0.021430847091479896,0.04286169418295979,False,False,False
MSFT,2023-06-12,0.015483641353713606,0.014458213361775319,0.028916426723550638,False,False,False
MSFT,2023-10-04,0.017773407368518068,0.013474824166530407,0.026949648333060815,False,False,False
MSFT,2024-01-29,0.014334168125398561,0.008201348420328757,0.016402696840657514,False,False,False
MSFT,2024-05-21,0.008698966983980538,0.014312816611496965,0.02862563322299393,False,False,False
MSFT,2024-09-13,0.00840751533485129,0.011753140784117648,0.023506281568235296,False,False,False
MSFT,2025-01-07,-0.012808087589131767,0.011892664175316708,0.023785328350633416,False,False,False
MSFT,2025-05-02,0.02322516970818489,0.03443335093475577,0.06886670186951153,False,False,False
MSFT,2025-08-26,-0.004402532224849209,0.013636190550088531,0.027272381100177063,False,False,False
MSFT,2025-12-17,-0.0005668537354907022,0.014270204010356854,0.02854040802071371,False,False,False
MSFT,2026-04-14,0.02273847493355685,0.016149284984581985,0.03229856996916397,False,False,False
MSFT,2026-08-07,0.00026008287542045316,0.038507866975017645,0.07701573395003529,False,False,False
NVDA,2011-03-14,0.00831032622493022,0.04196445215450976,0.08392890430901952,False,False,False
NVDA,2011-07-06,-0.013224300249123355,0.01847301573879448,0.03694603147758896,False,False,False
NVDA,2011-10-26,0.011764694223536765,0.04196290083563657,0.08392580167127314,False,False,False
NVDA,2012-02-21,0.005047337525964535,0.01903478235549723,0.03806956471099446,False,False,False
NVDA,2012-06-13,-0.026378724943484033,0.024706053683377926,0.04941210736675585,False,False,False
NVDA,2012-10-04,0.04447857155193535,0.0147604274277829,0.0295208548555658,True,False,False
NVDA,2013-01-31,-0.004869928754259734,0.01783483590154097,0.03566967180308194,False,False,False
NVDA,2013-05-24,-0.0061514059475916705,0.017143570145168305,0.03428714029033661,False,False,False
NVDA,2013-09-17,0.0031623470998938252,0.009059087741424648,0.018118175482849296,False,False,False
NVDA,2014-01-09,-0.03728619026923796,0.011754485237038674,0.023508970474077347,True,False,False
NVDA,2014-05-05,0.010851884747056229,0.01552825907715474,0.03105651815430948,False,False,False
NVDA,2014-08-26,0.017791799649245377,0.022596024471314657,0.04519204894262931,False,False,False
NVDA,2014-12-17,0.0408267941063476,0.01470256606231229,0.02940513212462458,True,False,False
NVDA,2015-04-14,-0.008425732411800002,0.02125933675442412,0.04251867350884824,False,False,False
NVDA,2015-08-05,0.010309508005790669,0.012735115746464416,0.025470231492928833,False,False,False
NVDA,2015-11-25,-0.0012833917522123706,0.03506875473554132,0.07013750947108265,False,False,False
NVDA,2016-03-22,-0.0017692593135198997,0.015387488937098612,0.030774977874197224,False,False,False
NVDA,2016-07-14,0.010231171029156272,0.020506519901247525,0.04101303980249505,False,False,False
NVDA,2016-11-03,-0.011634857588338043,0.016763908781318435,0.03352781756263687,False,False,False
NVDA,2017-03-01,0.012909225885266995,0.03060736344107873,0.06121472688215746,False,False,False
NVDA,2017-06-22,-0.0068980167489305355,0.025512304208711256,0.05102460841742251,False,False,False
