ticker,experiment,cutoff_date,horizon,last_price,actual,naive,arima,ets,garch,egarch,gjr_garch,var,xgboost,lightgbm,chronos_p05,chronos_p10,chronos_p50,chronos_p90,chronos_p95
AAPL,Experiment 1 — Univariate Close,2011-03-11,1,10.527891159057615,10.574847221374512,10.527891159057615,10.52828988610476,10.532310003377285,10.552238466462953,10.549437119779173,10.550252771588644,,10.511784381412598,10.54000346459245,,,,,
AAPL,Experiment 1 — Univariate Close,2011-03-11,5,10.527891159057615,9.890216827392578,10.527891159057615,10.528160332094352,10.549765549496827,10.65019206730806,,10.640175200179982,,10.72758813112017,10.705295437231728,,,,,
AAPL,Experiment 1 — Univariate Close,2011-03-11,10,10.527891159057615,10.514430046081545,10.527891159057615,10.528143851430505,10.571098523745784,10.773913726583842,,10.75365679413608,,10.976696120465219,11.162028920430746,,,,,
AAPL,Experiment 1 — Univariate Close,2011-03-11,20,10.527891159057615,10.021523475646973,10.527891159057615,10.528144798699312,10.612193488203609,11.025685508536561,,10.984263866232874,,11.105358509486647,11.334379832044148,,,,,
AAPL,Experiment 1 — Univariate Close,2011-07-05,1,10.45132541656494,10.521010398864746,10.45132541656494,10.451999088374908,10.454155998842856,10.469077167387635,10.465897019249072,10.466625371689943,,10.495959471456374,10.548370226467016,,,,,
AAPL,Experiment 1 — Univariate Close,2011-07-05,5,10.45132541656494,10.58053493499756,10.45132541656494,10.451793388330163,10.46533751541435,10.5403861996976,,10.52804950016675,,10.491440892282395,10.428040744052817,,,,,
AAPL,Experiment 1 — Univariate Close,2011-07-05,10,10.45132541656494,11.271445274353027,10.45132541656494,10.45178219332757,10.479002799986393,10.630205912705284,,10.60533682190056,,10.25297923165729,10.251795049903262,,,,,
AAPL,Experiment 1 — Univariate Close,2011-07-05,20,10.45132541656494,11.63215160369873,10.45132541656494,10.451782454726386,10.505327042318504,10.812148052285483,,10.76161774923727,,10.35678585657313,10.045764947465535,,,,,
AAPL,Experiment 1 — Univariate Close,2011-10-25,1,11.897151947021484,11.98179817199707,11.897151947021484,11.918798404243443,11.899233516444227,11.918941089917977,11.91581693433481,11.916419665378314,,12.138258345248403,12.217896369618025,,,,,
AAPL,Experiment 1 — Univariate Close,2011-10-25,5,11.897151947021484,11.859468460083008,11.897151947021484,11.917441951642452,11.90745622054874,12.006497452195465,,11.99380308982569,,12.447814280521882,12.571760793726103,,,,,
AAPL,Experiment 1 — Univariate Close,2011-10-25,10,11.897151947021484,12.150190353393556,11.897151947021484,11.900327430119406,11.917505446950313,12.116847940709576,,12.091239415793643,,12.505250034622264,12.618366253191576,,,,,
AAPL,Experiment 1 — Univariate Close,2011-10-25,20,11.897151947021484,11.261275291442873,11.897151947021484,11.902586649142563,11.936863863502168,12.340600899447583,,12.288493184004706,,12.210302860577023,12.572249677608584,,,,,
AAPL,Experiment 1 — Univariate Close,2012-02-17,1,15.018218040466309,15.398975372314451,15.018218040466309,15.02722544724772,15.028328003592108,15.048644253121983,15.045916629984264,15.046532862154894,,15.14296993926795,15.15811753524205,,,,,
