ticker,history_length,horizon,model,observations,mean_price_mae,mean_return_abs_error
AAPL,30,1,ARIMA,50,1.1054228236585832,0.01408070129499262
AAPL,30,1,Naive,50,1.1057069778442357,0.014168285702153999
AAPL,30,1,XGBoost,48,1.319727782047925,0.014880192465350474
AAPL,30,5,ARIMA,50,3.2960317845423766,0.03262719173923651
AAPL,30,5,Naive,50,3.305162563323974,0.032904897478495815
AAPL,30,5,XGBoost,48,4.292437376788573,0.037671906610192964
AAPL,30,10,ARIMA,50,3.9803892959612814,0.04398394362320758
AAPL,30,10,Naive,50,3.984772214889528,0.04378387927308606
AAPL,30,10,XGBoost,48,6.229014698012162,0.05989587276581581
AAPL,30,20,ARIMA,50,5.7963427155240455,0.06930278191723303
AAPL,30,20,Naive,50,5.798254861831667,0.06907136201203949
AAPL,30,20,XGBoost,48,7.575811002603554,0.0867008578654288
AAPL,60,1,ARIMA,50,1.570719852182286,0.014081432492127462
AAPL,60,1,Naive,50,1.5661441421508773,0.014107650110207428
AAPL,60,1,XGBoost,48,1.7275349242368725,0.01672650638941332
AAPL,60,5,ARIMA,50,3.210962995767076,0.033809517895815294
AAPL,60,5,Naive,50,3.1996642112731943,0.03368660651501155
AAPL,60,5,XGBoost,48,4.479976632426929,0.04554810849264354
AAPL,60,10,ARIMA,50,4.533751191335406,0.05028642629232765
AAPL,60,10,Naive,50,4.528725862503051,0.050241968368749716
AAPL,60,10,XGBoost,48,5.6923281238073455,0.05934177479033642
AAPL,60,20,ARIMA,50,6.544706861497539,0.07309973969366176
AAPL,60,20,Naive,50,6.554634771347042,0.073092908129965
AAPL,60,20,XGBoost,48,8.55438097473038,0.08712797411032693
AAPL,90,1,ARIMA,50,1.168275311780365,0.012767137812292188
AAPL,90,1,Naive,50,1.1691895866394049,0.012832463494819773
AAPL,90,1,XGBoost,49,1.2293929758091517,0.013231200224065483
AAPL,90,5,ARIMA,50,2.6236041817194407,0.028701701323737908
AAPL,90,5,Naive,50,2.6295098304748534,0.0287629071541941
AAPL,90,5,XGBoost,49,3.667762924678056,0.03659116085591725
AAPL,90,10,ARIMA,50,3.1934659043456795,0.04364755268068309
AAPL,90,10,Naive,50,3.2021002674102768,0.043706176443328325
AAPL,90,10,XGBoost,49,3.426098477219424,0.04442163203587715
AAPL,90,20,ARIMA,50,5.119037392315941,0.055144443153505064
AAPL,90,20,Naive,50,5.112953472137452,0.0550771998608485
AAPL,90,20,XGBoost,48,6.805885626027693,0.07670506438026009
AAPL,180,1,ARIMA,50,1.0135850362724659,0.009395768175534497
AAPL,180,1,Naive,50,1.011396312713621,0.009276256155903646
AAPL,180,1,XGBoost,50,1.2398636106955911,0.012490199761964915
AAPL,180,5,ARIMA,50,2.6285155907342475,0.028042621907336987
AAPL,180,5,Naive,50,2.635237731933594,0.028043370277588315
AAPL,180,5,XGBoost,50,3.2326062914859364,0.03468025191558605
AAPL,180,10,ARIMA,50,3.1614122121070487,0.039860615641916376
AAPL,180,10,Naive,50,3.151639308929443,0.03979330946062012
AAPL,180,10,XGBoost,50,4.1699396240125886,0.05141874934046429
AAPL,180,20,ARIMA,50,6.158073519346768,0.07012945433237217
AAPL,180,20,Naive,50,6.150453720092775,0.0700893973842372
AAPL,180,20,XGBoost,50,7.2855961944553975,0.08398075454247449
AMZN,30,1,ARIMA,50,1.18136212089067,0.014093246759496891
AMZN,30,1,Naive,50,1.165680856704711,0.01405645710263418
AMZN,30,1,XGBoost,48,1.379617677703063,0.017045651539250174
AMZN,30,5,ARIMA,50,3.2225828244763135,0.034128168063632176
AMZN,30,5,Naive,50,3.2138111877441404,0.03388890149470287
AMZN,30,5,XGBoost,48,3.8415338911804913,0.04201340148364341
