challenger,baseline,comparisons,wins,losses,ties,win_rate_excluding_ties
LightGBM,XGBoost,40,10,30,0,0.25
Naive,ARIMA,40,25,15,0,0.625
Naive,Chronos-LoRA-V1,40,24,16,0,0.6
Naive,Chronos-LoRA-V2,40,24,16,0,0.6
Naive,Chronos-LoRA-V3,40,24,16,0,0.6
Naive,Chronos-LoRA-V4,40,24,16,0,0.6
Naive,EGARCH,10,4,6,0,0.4
Naive,ETS,40,18,22,0,0.45
Naive,GARCH,40,15,25,0,0.375
Naive,GJR-GARCH,40,15,25,0,0.375
Naive,LightGBM,40,37,3,0,0.925
Naive,XGBoost,40,35,5,0,0.875
XGBoost,ARIMA,40,6,34,0,0.15
XGBoost,Chronos-LoRA-V1,40,2,38,0,0.05
XGBoost,Chronos-LoRA-V2,40,3,37,0,0.075
XGBoost,Chronos-LoRA-V3,40,2,38,0,0.05
XGBoost,Chronos-LoRA-V4,40,2,38,0,0.05
XGBoost,EGARCH,10,1,9,0,0.1
XGBoost,ETS,40,4,36,0,0.1
XGBoost,GARCH,40,2,38,0,0.05
XGBoost,GJR-GARCH,40,3,37,0,0.075
XGBoost,LightGBM,40,30,10,0,0.75
XGBoost,Naive,40,5,35,0,0.125
