horizon,model,model_type,stocks,observations,avg_price_mae,median_stock_mae,avg_return_abs_error,avg_directional_accuracy
1,ARIMA,statistical_ml,10,2000,1.242182244908891,1.2200121462739981,0.029825676520404798,0.492
1,Chronos-LoRA-V1,chronos_lora,10,500,1.222369544756859,1.2250076519455528,0.029854672089285144,0.518
1,Chronos-LoRA-V2,chronos_lora,10,500,1.2140013934049865,1.2208944251516876,0.02975212268570233,0.534
1,Chronos-LoRA-V3,chronos_lora,10,500,1.214599566970262,1.221475223103876,0.029742941610906702,0.524
1,Chronos-LoRA-V4,chronos_lora,10,500,1.219466343890654,1.2258297674078282,0.029860587785053582,0.49000000000000005
1,EGARCH,statistical_ml,10,2000,1.2191468110487305,1.2102799061255014,0.029569075671321072,0.562
1,ETS,statistical_ml,10,2000,1.2324319840485873,1.2164092017823465,0.029916189821483162,0.488
1,GARCH,statistical_ml,10,2000,1.2163914329096788,1.2082640491359027,0.029554729071448772,0.55
1,GJR-GARCH,statistical_ml,10,2000,1.2183814362371188,1.2103220642791608,0.029580178723963874,0.56
1,LightGBM,statistical_ml,10,2000,1.4440750637447008,1.5350133766046024,0.0349569766095751,0.49000000000000005
1,Naive,statistical_ml,10,2000,1.2294526450037946,1.2186450779438007,0.029640430711460136,
1,VAR,statistical_ml,10,0,,,,
1,XGBoost,statistical_ml,10,2000,1.4072914688993046,1.4388439510769417,0.034696196836512865,0.45600000000000007
5,ARIMA,statistical_ml,10,2000,2.7226180629018293,2.589629329925736,0.0648066999874338,0.52
5,Chronos-LoRA-V1,chronos_lora,10,500,2.733226167497053,2.678390638271905,0.06492553254271557,0.554
5,Chronos-LoRA-V2,chronos_lora,10,500,2.748039472610319,2.772546795463926,0.0654487778455849,0.546
5,Chronos-LoRA-V3,chronos_lora,10,500,2.7385679489484906,2.718989573584681,0.06504770389027502,0.548
5,Chronos-LoRA-V4,chronos_lora,10,500,2.746742468339987,2.73836364481706,0.06542968793094349,0.542
5,EGARCH,statistical_ml,10,0,,,,
5,ETS,statistical_ml,10,2000,2.710776564116827,2.58829400759974,0.06452038255885091,0.524
5,GARCH,statistical_ml,10,2000,2.6782544029999475,2.609594911655207,0.06439468406734572,0.558
5,GJR-GARCH,statistical_ml,10,2000,2.6847804733220313,2.608947160461449,0.06451823081019525,0.5519999999999999
5,LightGBM,statistical_ml,10,2000,3.300413592774541,3.1649812593493816,0.08127382291926419,0.502
5,Naive,statistical_ml,10,2000,2.717854095041752,2.5993201571702955,0.06471487530798042,
5,VAR,statistical_ml,10,0,,,,
5,XGBoost,statistical_ml,10,2000,3.178297502140521,3.3924480282059264,0.07767224805808043,0.534
10,ARIMA,statistical_ml,10,2000,3.9103642978192155,3.592002162694139,0.09266358034997413,0.526
10,Chronos-LoRA-V1,chronos_lora,10,500,3.8379488512415634,3.600815338584708,0.09284098789142867,0.5640000000000001
10,Chronos-LoRA-V2,chronos_lora,10,500,3.856821430711127,3.6343633442274994,0.09270065140295215,0.572
10,Chronos-LoRA-V3,chronos_lora,10,500,3.8460017834767237,3.621721853245467,0.09267365796463656,0.568
10,Chronos-LoRA-V4,chronos_lora,10,500,3.8495205105162618,3.617732366284525,0.09288912633549475,0.5660000000000001
10,EGARCH,statistical_ml,10,0,,,,
10,ETS,statistical_ml,10,2000,3.872923142969712,3.5238292357453287,0.09281559393764,0.556
10,GARCH,statistical_ml,10,2000,3.802653036737689,3.4975417503349764,0.09225105065196813,0.558
10,GJR-GARCH,statistical_ml,10,2000,3.814084490623576,3.506905995177172,0.09240495837904378,0.5519999999999999
10,LightGBM,statistical_ml,10,2000,4.663606365994482,4.685886406812036,0.11481271598323621,0.532
10,Naive,statistical_ml,10,2000,3.897812913298607,3.6118875789642333,0.0926671529094262,
10,VAR,statistical_ml,10,0,,,,
10,XGBoost,statistical_ml,10,2000,4.422601973987463,4.578673767495264,0.11277158419821413,0.532
20,ARIMA,statistical_ml,10,2000,5.573652983625587,5.731490569809042,0.1385646332747899,0.514
20,Chronos-LoRA-V1,chronos_lora,10,500,5.635329523887737,5.811692339957865,0.14132430899534937,0.584
20,Chronos-LoRA-V2,chronos_lora,10,500,5.60528663552805,5.742387266802234,0.1394358567685397,0.584
20,Chronos-LoRA-V3,chronos_lora,10,500,5.616825136859789,5.776728162896227,0.14012538749577796,0.58
20,Chronos-LoRA-V4,chronos_lora,10,500,5.622037782203742,5.750190705096621,0.13960102976705238,0.576
20,EGARCH,statistical_ml,10,0,,,,
20,ETS,statistical_ml,10,2000,5.539522194299493,5.685082493774717,0.14048913618627148,0.532
20,GARCH,statistical_ml,10,2000,5.35882652136331,5.513886268467896,0.13857532651344648,0.5640000000000001
20,GJR-GARCH,statistical_ml,10,2000,5.37432602158322,5.5327425970328115,0.1388963488136913,0.5660000000000001
20,LightGBM,statistical_ml,10,2000,7.545564467743262,7.530546834170646,0.1911506466008066,0.54
20,Naive,statistical_ml,10,2000,5.559366273850202,5.679635076522828,0.13850589701243726,
20,VAR,statistical_ml,10,0,,,,
20,XGBoost,statistical_ml,10,2000,7.266230152199297,7.713099799410124,0.18891268133125913,0.536
