ticker,cutoff_date,horizon,model,last_price,prediction,actual,price_mae,return_abs_error,direction_hit
AAPL,2011-03-11,1,Chronos-LoRA-V5,10.527891159057615,10.553244878593361,10.574847221374512,0.021602342781150696,0.0020519154743128265,1.0
AAPL,2011-03-11,5,Chronos-LoRA-V5,10.527891159057615,10.649475917850681,9.890216827392578,0.7592590904581034,0.07211882028290906,0.0
AAPL,2011-03-11,10,Chronos-LoRA-V5,10.527891159057615,10.762486989890945,10.514430046081545,0.24805694380940047,0.02356188338782228,0.0
AAPL,2011-03-11,20,Chronos-LoRA-V5,10.527891159057615,11.001664803214082,10.021523475646973,0.9801413275671091,0.09309949283849206,0.0
AAPL,2011-07-05,1,Chronos-LoRA-V5,10.45132541656494,10.471072891479329,10.521010398864746,0.049937507385417135,0.004778102814239071,1.0
AAPL,2011-07-05,5,Chronos-LoRA-V5,10.45132541656494,10.537047025380792,10.58053493499756,0.043487909616768405,0.004160994695260545,1.0
AAPL,2011-07-05,10,Chronos-LoRA-V5,10.45132541656494,10.609869106602826,11.271445274353027,0.6615761677502014,0.06330069549854689,1.0
AAPL,2011-07-05,20,Chronos-LoRA-V5,10.45132541656494,10.773190501815417,11.63215160369873,0.8589611018833132,0.08218681053810584,1.0
AAPL,2011-10-25,1,Chronos-LoRA-V5,11.897151947021484,11.926350969313171,11.98179817199707,0.05544720268389902,0.004660544215187468,1.0
AAPL,2011-10-25,5,Chronos-LoRA-V5,11.897151947021484,12.014949444248037,11.859468460083008,0.1554809841650293,0.013068756695500894,0.0
AAPL,2011-10-25,10,Chronos-LoRA-V5,11.897151947021484,12.115710349108967,12.150190353393556,0.03448000428458897,0.002898172977711777,1.0
AAPL,2011-10-25,20,Chronos-LoRA-V5,11.897151947021484,12.321449643629427,11.261275291442873,1.0601743521865536,0.08911160897226111,0.0
AAPL,2012-02-17,1,Chronos-LoRA-V5,15.018218040466309,15.055938403749865,15.398975372314451,0.34303696856458643,0.022841389547034074,1.0
