ticker,cutoff_date,model,horizon,lead,realized_return,q10,q50,q90,inside_80
AAPL,2011-03-11,Chronos-LoRA-V5,1,1,0.004450241382521369,-0.014806621707975864,0.002405347768217325,0.019161604344844818,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,5,1,0.004450241382521369,-0.014806621707975864,0.002405347768217325,0.019161604344844818,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,5,2,-0.02326306891455676,-0.015119475312530994,0.0024038890842348337,0.01954811066389084,0.0
AAPL,2011-03-11,Chronos-LoRA-V5,5,3,-0.04566686307138923,-0.015214185230433941,0.0022946707904338837,0.019649356603622437,0.0
AAPL,2011-03-11,Chronos-LoRA-V5,5,4,0.013932037329581703,-0.015184150077402592,0.002179942326620221,0.01906421408057213,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,5,5,-0.011934313723792389,-0.014813982881605625,0.0021987950894981623,0.018928352743387222,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,1,0.004450241382521369,-0.014806621707975864,0.002405347768217325,0.019161604344844818,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,2,-0.02326306891455676,-0.015119475312530994,0.0024038890842348337,0.01954811066389084,0.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,3,-0.04566686307138923,-0.015214185230433941,0.0022946707904338837,0.019649356603622437,0.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,4,0.013932037329581703,-0.015184150077402592,0.002179942326620221,0.01906421408057213,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,5,-0.011934313723792389,-0.014813982881605625,0.0021987950894981623,0.018928352743387222,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,6,0.02576372231703683,-0.015459827147424221,0.0021389001049101353,0.01896422728896141,0.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,7,0.005584351081219019,-0.015696987509727478,0.0020405431278049946,0.019000794738531113,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,8,-0.005908800103461953,-0.015457759611308575,0.002097576390951872,0.019242078065872192,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,9,0.01689765256303044,-0.015471397899091244,0.002087910193949938,0.019122973084449768,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,10,10,0.018865608639841103,-0.015197456814348698,0.0021910497453063726,0.019128676503896713,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,1,0.004450241382521369,-0.01484921108931303,0.002379581332206726,0.01910107210278511,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,2,-0.02326306891455676,-0.015182926319539547,0.002365867840126157,0.019524075090885162,0.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,3,-0.04566686307138923,-0.015302031300961971,0.002256046049296856,0.019685063511133194,0.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,4,0.013932037329581703,-0.015243352390825748,0.0021622416097670794,0.019066274166107178,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,5,-0.011934313723792389,-0.014863462187349796,0.0021731145679950714,0.018931061029434204,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,6,0.02576372231703683,-0.01552500668913126,0.0021282960660755634,0.01896878331899643,0.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,7,0.005584351081219019,-0.015779908746480942,0.002032710239291191,0.019033364951610565,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,8,-0.005908800103461953,-0.015548682771623135,0.0020766020752489567,0.019269950687885284,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,9,0.01689765256303044,-0.015552696771919727,0.002063789637759328,0.019117198884487152,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,10,0.018865608639841103,-0.015287487767636776,0.002184312092140317,0.01914142072200775,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,11,-0.003134016096087322,-0.0155815863981843,0.0022595212794840336,0.01937258243560791,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,12,0.0014829754467449163,-0.015282253734767437,0.0022321566939353943,0.019048437476158142,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,13,-0.006661372770181195,-0.015350044704973698,0.002143136691302061,0.018846269696950912,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,14,-0.0003442178187245126,-0.015484013594686985,0.002026134403422475,0.01910637691617012,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,15,-0.011398597100850782,-0.015489314682781696,0.0021981929894536734,0.01897546276450157,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,16,-0.00982885689499291,-0.01555196475237608,0.0022560316137969494,0.018889248371124268,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,17,-0.006763862417287658,-0.01436037477105856,0.002392154186964035,0.018763624131679535,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,18,-0.0025113262100115996,-0.014735204167664051,0.002356433542445302,0.019080109894275665,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,19,0.00011884084913527104,-0.014823890291154385,0.0022121891379356384,0.019111916422843933,1.0
AAPL,2011-03-11,Chronos-LoRA-V5,20,20,-0.008973043204864695,-0.014766710810363293,0.002120058750733733,0.018616534769535065,1.0
AAPL,2011-07-05,Chronos-LoRA-V5,1,1,0.006645443727850697,-0.014177677221596241,0.0018876880640164018,0.0180442463606596,1.0
AAPL,2011-07-05,Chronos-LoRA-V5,5,1,0.006645443727850697,-0.014177677221596241,0.0018876880640164018,0.0180442463606596,1.0
AAPL,2011-07-05,Chronos-LoRA-V5,5,2,0.015347072903914238,-0.014548822306096554,0.00169404037296772,0.01810268498957157,1.0
AAPL,2011-07-05,Chronos-LoRA-V5,5,3,0.007002041185355523,-0.014743280597031116,0.0015903080347925425,0.018233822658658028,1.0
AAPL,2011-07-05,Chronos-LoRA-V5,5,4,-0.016001509411843973,-0.014943870715796947,0.0014855389017611742,0.01794801466166973,0.0
AAPL,2011-07-05,Chronos-LoRA-V5,5,5,-0.0007058667785329042,-0.014529562555253506,0.0015109556261450052,0.017644938081502914,1.0
AAPL,2011-07-05,Chronos-LoRA-V5,10,1,0.006645443727850697,-0.014177677221596241,0.0018876880640164018,0.0180442463606596,1.0
AAPL,2011-07-05,Chronos-LoRA-V5,10,2,0.015347072903914238,-0.014548822306096554,0.00169404037296772,0.01810268498957157,1.0
AAPL,2011-07-05,Chronos-LoRA-V5,10,3,0.007002041185355523,-0.014743280597031116,0.0015903080347925425,0.018233822658658028,1.0
