ticker,date,actual_return,threshold,actual_spike,model,spike_warning
AAPL,2011-03-14,0.004460158412304516,0.02885882011001267,False,Chronos-LoRA-V1,False
AAPL,2011-03-14,0.004460158412304516,0.02885882011001267,False,Chronos-LoRA-V2,False
AAPL,2011-03-14,0.004460158412304516,0.02885882011001267,False,Chronos-LoRA-V3,False
AAPL,2011-03-14,0.004460158412304516,0.02885882011001267,False,XGBoost,False
AAPL,2011-07-06,0.006667573682985539,0.032177449317118245,False,Chronos-LoRA-V1,False
AAPL,2011-07-06,0.006667573682985539,0.032177449317118245,False,Chronos-LoRA-V2,False
AAPL,2011-07-06,0.006667573682985539,0.032177449317118245,False,Chronos-LoRA-V3,False
AAPL,2011-07-06,0.006667573682985539,0.032177449317118245,False,XGBoost,False
AAPL,2011-10-26,0.007114830957233975,0.049160836161456604,False,Chronos-LoRA-V1,False
AAPL,2011-10-26,0.007114830957233975,0.049160836161456604,False,Chronos-LoRA-V2,False
AAPL,2011-10-26,0.007114830957233975,0.049160836161456604,False,Chronos-LoRA-V3,False
AAPL,2011-10-26,0.007114830957233975,0.049160836161456604,False,XGBoost,False
AAPL,2012-02-21,0.02535302995483213,0.035584133733980505,False,Chronos-LoRA-V1,False
AAPL,2012-02-21,0.02535302995483213,0.035584133733980505,False,Chronos-LoRA-V2,False
AAPL,2012-02-21,0.02535302995483213,0.035584133733980505,False,Chronos-LoRA-V3,False
AAPL,2012-02-21,0.02535302995483213,0.035584133733980505,False,XGBoost,False
AAPL,2012-06-13,-0.0069428418656197755,0.03929342052266589,False,Chronos-LoRA-V1,False
AAPL,2012-06-13,-0.0069428418656197755,0.03929342052266589,False,Chronos-LoRA-V2,False
AAPL,2012-06-13,-0.0069428418656197755,0.03929342052266589,False,Chronos-LoRA-V3,False
AAPL,2012-06-13,-0.0069428418656197755,0.03929342052266589,False,XGBoost,False
AAPL,2012-10-04,-0.006925222819020527,0.02930300755163749,False,Chronos-LoRA-V1,False
AAPL,2012-10-04,-0.006925222819020527,0.02930300755163749,False,Chronos-LoRA-V2,False
AAPL,2012-10-04,-0.006925222819020527,0.02930300755163749,False,Chronos-LoRA-V3,False
AAPL,2012-10-04,-0.006925222819020527,0.02930300755163749,False,XGBoost,False
AAPL,2013-01-31,-0.0029329128527638693,0.06900682738796965,False,Chronos-LoRA-V1,False
AAPL,2013-01-31,-0.0029329128527638693,0.06900682738796965,False,Chronos-LoRA-V2,False
AAPL,2013-01-31,-0.0029329128527638693,0.06900682738796965,False,Chronos-LoRA-V3,False
AAPL,2013-01-31,-0.0029329128527638693,0.06900682738796965,False,XGBoost,False
AAPL,2013-05-24,0.0068077533326771356,0.03436672094761819,False,Chronos-LoRA-V1,False
AAPL,2013-05-24,0.0068077533326771356,0.03436672094761819,False,Chronos-LoRA-V2,False
AAPL,2013-05-24,0.0068077533326771356,0.03436672094761819,False,Chronos-LoRA-V3,False
AAPL,2013-05-24,0.0068077533326771356,0.03436672094761819,False,XGBoost,False
AAPL,2013-09-17,0.01155270804636599,0.036533530044340075,False,Chronos-LoRA-V1,False
AAPL,2013-09-17,0.01155270804636599,0.036533530044340075,False,Chronos-LoRA-V2,False
AAPL,2013-09-17,0.01155270804636599,0.036533530044340075,False,Chronos-LoRA-V3,False
AAPL,2013-09-17,0.01155270804636599,0.036533530044340075,False,XGBoost,False
AAPL,2014-01-09,-0.012769852206867327,0.025244626316059476,False,Chronos-LoRA-V1,False
AAPL,2014-01-09,-0.012769852206867327,0.025244626316059476,False,Chronos-LoRA-V2,False
AAPL,2014-01-09,-0.012769852206867327,0.025244626316059476,False,Chronos-LoRA-V3,False
AAPL,2014-01-09,-0.012769852206867327,0.025244626316059476,False,XGBoost,False
AAPL,2014-05-05,0.01414124446716336,0.04384350883042597,False,Chronos-LoRA-V1,False
AAPL,2014-05-05,0.01414124446716336,0.04384350883042597,False,Chronos-LoRA-V2,False
AAPL,2014-05-05,0.01414124446716336,0.04384350883042597,False,Chronos-LoRA-V3,False
AAPL,2014-05-05,0.01414124446716336,0.04384350883042597,False,XGBoost,False
AAPL,2014-08-26,-0.0064013082158485,0.018046368175844228,False,Chronos-LoRA-V1,False
AAPL,2014-08-26,-0.0064013082158485,0.018046368175844228,False,Chronos-LoRA-V2,False
AAPL,2014-08-26,-0.0064013082158485,0.018046368175844228,False,Chronos-LoRA-V3,False
AAPL,2014-08-26,-0.0064013082158485,0.018046368175844228,False,XGBoost,False
AAPL,2014-12-17,0.024918085674496826,0.028236830508079586,False,Chronos-LoRA-V1,False
AAPL,2014-12-17,0.024918085674496826,0.028236830508079586,False,Chronos-LoRA-V2,False
AAPL,2014-12-17,0.024918085674496826,0.028236830508079586,False,Chronos-LoRA-V3,False
AAPL,2014-12-17,0.024918085674496826,0.028236830508079586,False,XGBoost,False
AAPL,2015-04-14,-0.0043361181523605685,0.025301045108785017,False,Chronos-LoRA-V1,False
AAPL,2015-04-14,-0.0043361181523605685,0.025301045108785017,False,Chronos-LoRA-V2,False
AAPL,2015-04-14,-0.0043361181523605685,0.025301045108785017,False,Chronos-LoRA-V3,False
AAPL,2015-04-14,-0.0043361181523605685,0.025301045108785017,False,XGBoost,False
AAPL,2015-08-05,0.006629199065646407,0.03630499270474385,False,Chronos-LoRA-V1,False
AAPL,2015-08-05,0.006629199065646407,0.03630499270474385,False,Chronos-LoRA-V2,False
AAPL,2015-08-05,0.006629199065646407,0.03630499270474385,False,Chronos-LoRA-V3,False
AAPL,2015-08-05,0.006629199065646407,0.03630499270474385,False,XGBoost,False
AAPL,2015-11-25,-0.007150188201904051,0.03492737916885329,False,Chronos-LoRA-V1,False
AAPL,2015-11-25,-0.007150188201904051,0.03492737916885329,False,Chronos-LoRA-V2,False
AAPL,2015-11-25,-0.007150188201904051,0.03492737916885329,False,Chronos-LoRA-V3,False
AAPL,2015-11-25,-0.007150188201904051,0.03492737916885329,False,XGBoost,False
AAPL,2016-03-22,0.007647852886431661,0.025676942299089334,False,Chronos-LoRA-V1,False
AAPL,2016-03-22,0.007647852886431661,0.025676942299089334,False,Chronos-LoRA-V2,False
AAPL,2016-03-22,0.007647852886431661,0.025676942299089334,False,Chronos-LoRA-V3,False
AAPL,2016-03-22,0.007647852886431661,0.025676942299089334,False,XGBoost,False
AAPL,2016-07-14,0.019820451362967173,0.02276684138375036,False,Chronos-LoRA-V1,False
AAPL,2016-07-14,0.019820451362967173,0.02276684138375036,False,Chronos-LoRA-V2,False
AAPL,2016-07-14,0.019820451362967173,0.02276684138375036,False,Chronos-LoRA-V3,False
AAPL,2016-07-14,0.019820451362967173,0.02276684138375036,False,XGBoost,False
AAPL,2016-11-03,-0.01071878092459111,0.01825842281181891,False,Chronos-LoRA-V1,False
AAPL,2016-11-03,-0.01071878092459111,0.01825842281181891,False,Chronos-LoRA-V2,False
AAPL,2016-11-03,-0.01071878092459111,0.01825842281181891,False,Chronos-LoRA-V3,False
AAPL,2016-11-03,-0.01071878092459111,0.01825842281181891,False,XGBoost,False
AAPL,2017-03-01,0.02043904268959773,0.027389205272767014,False,Chronos-LoRA-V1,False
