ticker,cutoff_date,horizon,model,actual,p10,p50,p90,p10_breach,p90_breach
AAPL,2011-03-11,1,Chronos-LoRA-V1,10.574847221374512,10.374969767343764,10.548285863287116,10.717243797804853,0.0,0.0
AAPL,2011-03-11,1,Chronos-LoRA-V2,10.574847221374512,10.37731124159518,10.550090262218948,10.716150391947991,0.0,0.0
AAPL,2011-03-11,1,Chronos-LoRA-V3,10.574847221374512,10.38065898876991,10.551227457490683,10.718052565929336,0.0,0.0
AAPL,2011-03-11,5,Chronos-LoRA-V1,9.890216827392578,9.78418840341244,10.63239070642339,11.525104383782855,0.0,0.0
AAPL,2011-03-11,5,Chronos-LoRA-V2,9.890216827392578,9.794168617828166,10.641687048321728,11.520377250076915,0.0,0.0
AAPL,2011-03-11,5,Chronos-LoRA-V3,9.890216827392578,9.805850188825753,10.639668351465643,11.521536919014844,0.0,0.0
AAPL,2011-03-11,10,Chronos-LoRA-V1,10.514430046081545,9.116306464728192,10.739122936545177,12.591802002958895,0.0,0.0
AAPL,2011-03-11,10,Chronos-LoRA-V2,10.514430046081545,9.124764337580036,10.755538213276441,12.584952841967471,0.0,0.0
AAPL,2011-03-11,10,Chronos-LoRA-V3,10.514430046081545,9.14601089579526,10.749680918213393,12.584241934259579,0.0,0.0
AAPL,2011-03-11,20,Chronos-LoRA-V1,10.021523475646973,7.90108939038441,10.930437086955267,15.010399552447433,0.0,0.0
AAPL,2011-03-11,20,Chronos-LoRA-V2,10.021523475646973,7.915364973966843,10.967961166753149,14.989803627239292,0.0,0.0
AAPL,2011-03-11,20,Chronos-LoRA-V3,10.021523475646973,7.951699234716389,10.95075631071156,14.991503534924062,0.0,0.0
AAPL,2011-07-05,1,Chronos-LoRA-V1,10.521010398864746,10.266227366125674,10.466502689770996,10.670916806726277,0.0,0.0
AAPL,2011-07-05,1,Chronos-LoRA-V2,10.521010398864746,10.284499781152842,10.469134409556364,10.652836473984205,0.0,0.0
AAPL,2011-07-05,1,Chronos-LoRA-V3,10.521010398864746,10.276370540372918,10.469095549221917,10.665585770285022,0.0,0.0
AAPL,2011-07-05,5,Chronos-LoRA-V1,10.58053493499756,9.562471337263842,10.524677297329633,11.585525886204216,0.0,0.0
AAPL,2011-07-05,5,Chronos-LoRA-V2,10.58053493499756,9.649172955665613,10.540423957590288,11.495119176501218,0.0,0.0
AAPL,2011-07-05,5,Chronos-LoRA-V3,10.58053493499756,9.604719273921695,10.532890046047442,11.55045927097709,0.0,0.0
AAPL,2011-07-05,10,Chronos-LoRA-V1,11.271445274353027,8.777971472028387,10.595121054391198,12.790660249296737,0.0,0.0
AAPL,2011-07-05,10,Chronos-LoRA-V2,11.271445274353027,8.926666100771262,10.62485758074072,12.608632211056172,0.0,0.0
AAPL,2011-07-05,10,Chronos-LoRA-V3,11.271445274353027,8.841646674133052,10.608627405060332,12.727415280924891,0.0,0.0
AAPL,2011-07-05,20,Chronos-LoRA-V1,11.63215160369873,7.2704278141959655,10.7410766996324,15.85143936210786,0.0,0.0
